,单品编码,单品名称,分类编码,分类名称
71,102900011032589,鱼腥草,1011010101,花叶类
72,102900011032787,竹叶菜(份),1011010101,花叶类
73,102900011033081,春菜,1011010101,花叶类
74,102900011033173,槐花,1011010101,花叶类
75,102900011033234,红薯尖(份),1011010101,花叶类
76,102900011033241,蔡甸藜蒿(份),1011010101,花叶类
77,102900011033531,红珊瑚(粗叶),1011010101,花叶类
78,102900011033562,红橡叶,1011010101,花叶类
79,102900011033586,绿牛油,1011010101,花叶类
80,102900011033906,保康高山大白菜,1011010101,花叶类
81,102900011033920,黄心菜(2),1011010101,花叶类
82,102900011034200,苋菜(份),1011010101,花叶类
83,102900011034217,小白菜(份),1011010101,花叶类
84,102900011034224,小青菜(份),1011010101,花叶类
85,102900011034231,奶白菜(份),1011010101,花叶类
86,102900011034316,芝麻苋菜,1011010101,花叶类
87,102900011034323,鲜粽叶,1011010101,花叶类
88,102900011034354,鲜粽叶(袋)(1),1011010101,花叶类
89,102900011035481,外地茼蒿(份),1011010101,花叶类
90,102900011035764,龙牙菜,1011010101,花叶类
91,102900011035771,黄白菜(1),1011010101,花叶类
92,102900011035849,大白菜秧,1011010101,花叶类
93,102900011036686,木耳菜(份),1011010101,花叶类
94,102900051000890,芥兰,1011010101,花叶类
95,102900051009220,油菜苔,1011010101,花叶类
96,102900051010455,黄白菜(2),1011010101,花叶类
97,102900051010790,紫贝菜,1011010101,花叶类
98,106971563780002,鲜粽叶(袋)(2),1011010101,花叶类
99,106972776821582,鲜粽叶(袋)(3),1011010101,花叶类
100,102900005116714,西兰花,1011010201,花菜类
101,102900011000632,紫白菜(1),1011010201,花菜类
102,102900011009970,青梗散花,1011010201,花菜类
103,102900011033913,紫白菜(2),1011010201,花菜类
104,102900011034026,枝江青梗散花,1011010201,花菜类
105,102900005116042,藕,1011010402,水生根茎类
106,102900005116899,净藕(1),1011010402,水生根茎类
107,102900005118824,高瓜(1),1011010402,水生根茎类
108,102900011001561,莲蓬(个),1011010402,水生根茎类
109,102900011001691,菱角,1011010402,水生根茎类
110,102900011007969,红莲藕带,1011010402,水生根茎类
111,102900011009277,荸荠,1011010402,水生根茎类
112,102900011010891,野藕(1),1011010402,水生根茎类
113,102900011018132,野生粉藕,1011010402,水生根茎类
114,102900011021842,洪湖莲藕(粉藕),1011010402,水生根茎类
115,102900011023976,净藕(2),1011010402,水生根茎类
116,102900011024010,鲜藕带(袋),1011010402,水生根茎类
117,102900011032114,荸荠(份),1011010402,水生根茎类
118,102900011032732,高瓜(2),1011010402,水生根茎类
119,102900011034569,洪湖莲藕(脆藕),1011010402,水生根茎类
120,102900011035511,净藕(3),1011010402,水生根茎类
121,102900011035962,野藕(2),1011010402,水生根茎类
122,102900051000944,洪湖藕带,1011010402,水生根茎类
123,102900051006229,藕尖,1011010402,水生根茎类
124,102900005116257,紫茄子(2),1011010501,茄类
125,102900005116509,青茄子(1),1011010501,茄类
126,102900011000335,紫圆茄,1011010501,茄类
127,102900011009444,大龙茄子,1011010501,茄类
128,102900011016909,花茄子,1011010501,茄类
129,102900011022764,长线茄,1011010501,茄类
130,102900011033975,青茄子(2),1011010501,茄类
131,102900011033982,紫茄子(1),1011010501,茄类
132,102900011033999,圆茄子(1),1011010501,茄类
133,102900051000463,圆茄子(2),1011010501,茄类
134,102900005116219,红尖椒,1011010504,辣椒类
135,102900005116226,青尖椒,1011010504,辣椒类
136,102900005116233,红椒(1),1011010504,辣椒类
137,102900005116905,青杭椒(1),1011010504,辣椒类
138,102900005116943,红杭椒,1011010504,辣椒类
139,102900005117056,泡泡椒(精品),1011010504,辣椒类
140,102900005117209,七彩椒(1),1011010504,辣椒类
141,102900005119968,青杭椒(2),1011010504,辣椒类
142,102900005123880,灯笼椒(1),1011010504,辣椒类
143,102900005125808,小米椒,1011010504,辣椒类
144,102900011000328,螺丝椒,1011010504,辣椒类
145,102900011000861,红线椒,1011010504,辣椒类
146,102900011001219,红灯笼椒(1),1011010504,辣椒类
147,102900011009772,水果辣椒(橙色),1011010504,辣椒类
148,102900011016701,芜湖青椒(1),1011010504,辣椒类
149,102900011022030,组合椒系列,1011010504,辣椒类
150,102900011023648,芜湖青椒(2),1011010504,辣椒类
151,102900011027479,小皱皮,1011010504,辣椒类
152,102900011028407,余干椒,1011010504,辣椒类
153,102900011029176,辣妹子,1011010504,辣椒类
154,102900011029275,紫尖椒,1011010504,辣椒类
155,102900011029299,紫螺丝椒,1011010504,辣椒类
156,102900011029305,水果辣椒,1011010504,辣椒类
157,102900011031100,小米椒(份),1011010504,辣椒类
158,102900011031582,青尖椒(份),1011010504,辣椒类
159,102900011031735,七彩椒(份),1011010504,辣椒类
160,102900011031742,灯笼椒(份),1011010504,辣椒类
161,102900011031759,红灯笼椒(份),1011010504,辣椒类
162,102900011032022,小皱皮(份),1011010504,辣椒类
163,102900011032145,芜湖青椒(份),1011010504,辣椒类
164,102900011032206,青杭椒(份),1011010504,辣椒类
165,102900011032213,红杭椒(份),1011010504,辣椒类
166,102900011032220,水果辣椒(份),1011010504,辣椒类
167,102900011032237,青线椒(份),1011010504,辣椒类
168,102900011032244,红尖椒(份),1011010504,辣椒类
169,102900011032251,螺丝椒(份),1011010504,辣椒类
170,102900011032343,七彩椒(2),1011010504,辣椒类
171,102900011032350,灯笼椒(2),1011010504,辣椒类
172,102900011032367,红灯笼椒(2),1011010504,辣椒类
173,102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类
174,102900011034262,红椒(份),1011010504,辣椒类
175,102900011034439,青红杭椒组合装(份),1011010504,辣椒类
176,102900011035078,红椒(2),1011010504,辣椒类
177,102900011036242,青红尖椒组合装(份),1011010504,辣椒类
178,102900051004294,青线椒,1011010504,辣椒类
179,102900005115250,西峡花菇(1),1011010801,食用菌
180,102900005116530,西峡香菇(1),1011010801,食用菌
181,102900005116547,金针菇(1),1011010801,食用菌
182,102900005116837,平菇,1011010801,食用菌
183,102900005116912,姬菇(1),1011010801,食用菌
184,102900005117353,白玉菇(1),1011010801,食用菌
185,102900005119098,双孢菇,1011010801,食用菌
186,102900005119104,蟹味菇(1),1011010801,食用菌
187,102900005119944,海鲜菇(1),1011010801,食用菌
188,102900005125815,杏鲍菇(1),1011010801,食用菌
189,102900011001806,姬菇(包),1011010801,食用菌
190,102900011001813,金针菇(袋)(1),1011010801,食用菌
191,102900011007044,银耳(朵),1011010801,食用菌
192,102900011008577,猴头菇,1011010801,食用菌
193,102900011009246,鲜木耳(1),1011010801,食用菌
194,102900011010563,鸡枞菌,1011010801,食用菌
195,102900011011058,黑牛肝菌,1011010801,食用菌
196,102900011011546,海鲜菇(袋)(1),1011010801,食用菌
197,102900011011669,秀珍菇,1011010801,食用菌
198,102900011011782,虫草花(盒)(1),1011010801,食用菌
199,102900011012482,茶树菇(袋),1011010801,食用菌
200,102900011012871,黑皮鸡枞菌,1011010801,食用菌
201,102900011012994,杏鲍菇(袋),1011010801,食用菌
202,102900011013274,白玉菇(袋),1011010801,食用菌
203,102900011018095,虫草花(袋),1011010801,食用菌
204,102900011021675,赤松茸,1011010801,食用菌
205,102900011021699,牛排菇,1011010801,食用菌
206,102900011023075,活体银耳,1011010801,食用菌
207,102900011026793,杏鲍菇(250克),1011010801,食用菌
208,102900011030561,赤松茸(盒),1011010801,食用菌
209,102900011030608,牛排菇(盒),1011010801,食用菌
210,102900011030615,猪肚菇(盒),1011010801,食用菌
211,102900011030622,黑牛肝菌(盒),1011010801,食用菌
212,102900011030639,黑皮鸡枞菌(盒),1011010801,食用菌
213,102900011030912,海鲜菇(份),1011010801,食用菌
214,102900011030929,鲜木耳(份),1011010801,食用菌
215,102900011031599,杏鲍菇(份),1011010801,食用菌
216,102900011031841,双孢菇(份),1011010801,食用菌
217,102900011031858,金针菇(份),1011010801,食用菌
218,102900011031926,虫草花(份),1011010801,食用菌
219,102900011031995,姬菇(份),1011010801,食用菌
220,102900011032619,西峡香菇(2),1011010801,食用菌
221,102900011032626,鲜木耳(2),1011010801,食用菌
222,102900011032633,海鲜菇(2),1011010801,食用菌
223,102900011032640,姬菇(2),1011010801,食用菌
224,102900011033937,金针菇(2),1011010801,食用菌
225,102900011033944,杏鲍菇(2),1011010801,食用菌
226,102900011033968,西峡花菇(2),1011010801,食用菌
227,102900011034330,双孢菇(盒),1011010801,食用菌
228,102900011034538,花菇(一人份),1011010801,食用菌
229,102900011034705,菌菇火锅套餐(份),1011010801,食用菌
230,102900011035740,蟹味菇与白玉菇双拼(盒),1011010801,食用菌
231,102900011035788,西峡香菇(份) ,1011010801,食用菌
232,102900011036068,菌蔬四宝(份),1011010801,食用菌
233,102900011036266,鹿茸菇(盒),1011010801,食用菌
234,102900051009336,虫草花,1011010801,食用菌
235,106930274220092,蟹味菇(袋),1011010801,食用菌
236,106930274620090,海鲜菇(袋)(2),1011010801,食用菌
237,106931885000035,绣球菌,1011010801,食用菌
238,106931885000356,绣球菌(袋),1011010801,食用菌
239,106949711300068,金针菇(袋)(3),1011010801,食用菌
240,106949711300167,金针菇(袋)(2),1011010801,食用菌
241,106949711300259,金针菇(盒),1011010801,食用菌
242,106956146480197,白玉菇(2),1011010801,食用菌
243,106956146480203,蟹味菇(2),1011010801,食用菌
244,106957634300010,白玉菇(盒),1011010801,食用菌
245,106957634300058,蟹味菇(盒),1011010801,食用菌
246,106958851400125,海鲜菇(袋)(4),1011010801,食用菌
247,106971533450003,海鲜菇(包),1011010801,食用菌
248,106971533455008,海鲜菇(袋)(3),1011010801,食用菌
249,106973223300667,虫草花(盒)(2),1011010801,食用菌
250,106973990980123,和丰阳光海鲜菇(包),1011010801,食用菌
