销售日期,单品编码,销量(千克),每日平均销售单价(元/千克),打折数量,原价数量
2020-07-02,102900005116530,17.345,19.8,0,69
2020-07-02,102900005116547,17.208000000000002,6.0,0,43
2020-07-02,102900005116714,30.109,14.0,0,65
2020-07-02,102900005116790,10.625,8.0,0,17
2020-07-02,102900005116912,1.539,14.0,0,9
2020-07-02,102900005116943,1.679,16.0,0,10
2020-07-02,102900005117056,39.81,7.6,0,98
2020-07-02,102900005117209,1.825,14.0,0,5
2020-07-02,102900005118824,4.342,10.0,0,13
2020-07-02,102900005118831,13.0,6.45,6,6
2020-07-02,102900005119944,2.254,16.0,0,7
2020-07-02,102900005119975,22.549,5.0,25,32
2020-07-02,102900005123880,1.679,12.0,0,5
2020-07-02,102900005125808,4.148,25.8,0,44
2020-07-02,102900005125815,10.164,10.0,0,32
2020-07-02,102900011000328,5.844,10.0,0,23
2020-07-02,102900011001219,1.394,12.0,0,4
2020-07-02,102900011006689,1.392,10.0,0,6
2020-07-02,102900011006948,0.857,16.0,0,2
2020-07-02,102900011008522,13.548,8.0,0,25
2020-07-02,102900011009970,13.834,9.0,0,30
2020-07-02,102900051000944,0.258,37.6,0,1
2020-07-02,102900051004294,4.721,14.0,0,16
2020-07-02,102900051010455,4.811,6.4,1,9
2020-07-03,102900005115762,7.694,6.0,0,12
2020-07-03,102900005115779,36.309,8.0,0,93
2020-07-03,102900005115786,11.125,5.0,4,20
2020-07-03,102900005115793,3.099,16.0,0,7
2020-07-03,102900005115823,13.120000000000001,7.95,1,28
2020-07-03,102900005115908,8.173,8.0,0,20
2020-07-03,102900005115946,2.306,7.0,0,5
2020-07-03,102900005115960,10.446,3.6,0,15
2020-07-03,102900005115984,36.709,6.0,0,83
2020-07-03,102900005116226,2.331,8.0,0,6
2020-07-03,102900005116233,4.738,10.0,0,21
2020-07-03,102900005116257,17.553,7.0,0,33
2020-07-03,102900005116509,18.343,4.0,0,24
2020-07-03,102900005116530,15.29,19.8,0,69
2020-07-03,102900005116547,14.633,7.0,0,36
2020-07-03,102900005116714,26.46,14.0,0,64
2020-07-03,102900005116790,6.943,8.0,0,10
2020-07-03,102900005116912,1.259,14.0,0,7
2020-07-03,102900005116943,1.904,16.0,0,13
2020-07-03,102900005117056,32.351,7.6,0,87
2020-07-03,102900005117209,1.581,14.0,0,4
2020-07-03,102900005118824,9.572,7.75,15,15
2020-07-03,102900005118831,13.0,6.7,2,11
2020-07-03,102900005119944,1.816,16.0,0,8
2020-07-03,102900005119975,13.734,5.0,6,35
2020-07-03,102900005123880,1.369,12.0,0,4
2020-07-03,102900005125808,3.935,25.8,0,42
2020-07-03,102900005125815,9.444,10.0,0,29
2020-07-03,102900011000328,9.099,10.0,0,25
2020-07-03,102900011001219,2.239,14.0,0,7
2020-07-03,102900011006689,3.478,10.0,0,6
2020-07-03,102900011006948,2.09,16.0,0,7
2020-07-03,102900011008522,13.562,8.0,0,21
2020-07-03,102900011009970,15.616,8.0,0,32
2020-07-03,102900051004294,4.706,14.0,0,18
2020-07-03,102900051010455,9.991,9.0,0,19
2020-07-04,102900005115779,51.205,8.0,0,141
2020-07-04,102900005115786,20.571,6.0,0,49
2020-07-04,102900005115793,7.091,16.0,0,15
2020-07-04,102900005115823,28.186,10.0,0,64
2020-07-04,102900005115908,13.034,8.0,0,30
2020-07-04,102900005115946,4.099,7.0,0,11
2020-07-04,102900005115960,9.638,3.6,0,12
2020-07-04,102900005115984,43.330000000000005,5.8,1,104
2020-07-04,102900005116226,3.948,8.0,0,11
2020-07-04,102900005116233,4.948,10.0,0,26
2020-07-04,102900005116257,33.045,7.0,0,65
2020-07-04,102900005116509,24.022,4.0,0,34
2020-07-04,102900005116530,14.532,18.8,3,74
2020-07-04,102900005116547,16.702,7.0,0,39
2020-07-04,102900005116714,42.815,14.0,0,97
2020-07-04,102900005116790,5.251,8.0,0,9
2020-07-04,102900005116912,1.596,14.0,0,5
2020-07-04,102900005116943,1.703,16.0,0,11
2020-07-04,102900005117056,45.815,7.6,0,121
2020-07-04,102900005117209,0.6930000000000001,14.0,0,2
2020-07-04,102900005118824,3.107,10.0,0,9
2020-07-04,102900005118831,15.0,6.25,1,14
2020-07-04,102900005119944,1.378,16.0,0,8
2020-07-04,102900005123880,0.618,12.0,0,2
2020-07-04,102900005125808,3.4210000000000003,25.8,0,42
2020-07-04,102900005125815,13.054,10.0,0,42
2020-07-04,102900011000328,10.682,13.6,1,33
2020-07-04,102900011001219,0.945,14.0,0,3
2020-07-04,102900011006689,4.908,10.0,0,14
2020-07-04,102900011008522,15.843,8.0,0,29
2020-07-04,102900011009970,12.847,8.0,0,29
2020-07-04,102900051000944,2.332,37.6,0,7
2020-07-04,102900051004294,8.509,12.0,0,41
2020-07-04,102900051010455,18.431,8.7,1,31
2020-07-05,102900005115762,6.021,6.0,0,13
2020-07-05,102900005115779,34.249,7.9,1,91
2020-07-05,102900005115786,30.936999999999998,5.9,1,68
2020-07-05,102900005115823,12.038,9.85,1,27
2020-07-05,102900005115908,10.791,8.0,0,24
2020-07-05,102900005115946,3.568,7.0,0,10
2020-07-05,102900005115960,9.698,4.0,0,10
2020-07-05,102900005115984,12.594,6.0,0,28
2020-07-05,102900005116226,3.535,8.0,0,10
2020-07-05,102900005116233,7.412,10.0,0,37
2020-07-05,102900005116257,26.965999999999998,6.9,1,49
2020-07-05,102900005116509,24.423,4.0,0,37
2020-07-05,102900005116530,18.406,19.8,0,83
2020-07-05,102900005116547,18.991,7.0,0,44
2020-07-05,102900005116714,42.365,14.0,0,82
2020-07-05,102900005116912,1.772,14.0,0,11
2020-07-05,102900005116943,2.56,16.0,0,21
2020-07-05,102900005117056,53.874,7.6,0,144
2020-07-05,102900005117209,1.395,14.0,0,5
2020-07-05,102900005118824,4.019,10.0,0,12
2020-07-05,102900005118831,13.0,6.55,3,10
2020-07-05,102900005119975,55.159,6.0,0,147
2020-07-05,102900005123880,0.626,12.0,0,2
2020-07-05,102900005125808,3.699,25.8,0,43
2020-07-05,102900005125815,14.044,10.0,0,49
2020-07-05,102900011000328,15.638,13.8,1,44
2020-07-05,102900011001219,1.282,16.0,0,4
2020-07-05,102900011001813,20.0,3.5,0,20
2020-07-05,102900011006689,3.625,11.0,0,13
2020-07-05,102900011008522,17.408,8.0,0,30
2020-07-05,102900011009444,10.427,11.85,1,23
2020-07-05,102900011009970,13.109,8.0,0,24
2020-07-05,102900051004294,8.475,12.0,0,41
2020-07-05,102900051010455,14.811,9.0,0,31
2020-07-06,102900005115762,5.854,6.0,0,10
2020-07-06,102900005115779,36.532,8.0,0,99
2020-07-06,102900005115786,14.131,6.0,0,27
2020-07-06,102900005115793,6.496,16.0,0,16
2020-07-06,102900005115823,13.458,10.0,0,30
2020-07-06,102900005115908,10.162,8.0,0,25
2020-07-06,102900005115946,3.539,7.0,0,10
2020-07-06,102900005115960,14.098,4.0,0,21
2020-07-06,102900005115984,11.053,6.0,0,31
2020-07-06,102900005116226,3.896,8.0,0,12
2020-07-06,102900005116233,4.308,10.0,0,19
2020-07-06,102900005116257,8.96,8.0,0,19
2020-07-06,102900005116509,16.434,4.0,0,26
2020-07-06,102900005116530,13.35,19.8,0,64
2020-07-06,102900005116547,11.911,7.0,0,28
2020-07-06,102900005116714,24.433999999999997,13.6,1,51
2020-07-06,102900005116912,1.103,14.0,0,5
2020-07-06,102900005116943,2.014,16.0,0,14
2020-07-06,102900005117056,26.296,7.6,0,75
2020-07-06,102900005117209,1.273,14.0,0,4
2020-07-06,102900005118824,3.0890000000000004,9.85,1,10
2020-07-06,102900005118831,10.0,6.75,1,9
2020-07-06,102900005119944,1.202,17.0,0,6
2020-07-06,102900005119975,15.903,6.0,0,39
2020-07-06,102900005123880,1.127,12.0,0,3
2020-07-06,102900005125808,3.064,25.8,0,38
2020-07-06,102900005125815,9.012,10.0,0,30
2020-07-06,102900011000328,10.36,14.0,0,32
2020-07-06,102900011001219,1.234,18.0,0,3
2020-07-06,102900011001813,4.0,3.45,1,3
2020-07-06,102900011006948,5.682,15.8,1,14
2020-07-06,102900011008522,40.201,7.0,13,55
2020-07-06,102900011009444,5.333,12.0,0,12
2020-07-06,102900011009970,18.287,9.0,0,34
2020-07-06,102900051004294,5.11,12.0,0,23
2020-07-06,102900051010455,8.631,9.0,0,18
2020-07-07,102900005115762,8.062,6.0,0,15
2020-07-07,102900005115779,30.058,10.0,0,79
2020-07-07,102900005115786,11.756,6.0,0,29
2020-07-07,102900005115793,6.929,16.0,0,14
2020-07-07,102900005115823,9.861,10.0,0,26
2020-07-07,102900005115908,11.478,8.0,0,26
2020-07-07,102900005115946,5.059,7.0,0,13
2020-07-07,102900005115960,14.828,3.75,1,23
2020-07-07,102900005115984,28.214,6.0,0,68
2020-07-07,102900005116226,3.784,8.0,0,10
2020-07-07,102900005116233,4.158,10.0,0,19
2020-07-07,102900005116257,14.6,8.0,0,29
2020-07-07,102900005116509,17.512,4.0,0,27
2020-07-07,102900005116530,14.533,19.8,0,77
2020-07-07,102900005116547,16.797,7.6,0,38
2020-07-07,102900005116714,23.05,14.0,0,48
2020-07-07,102900005116837,0.424,13.0,0,1
2020-07-07,102900005116912,1.137,14.0,0,6
2020-07-07,102900005116943,2.353,16.0,0,16
2020-07-07,102900005117056,8.51,8.0,0,26
2020-07-07,102900005117209,1.323,14.0,0,5
2020-07-07,102900005118824,3.117,10.0,0,11
2020-07-07,102900005118831,13.0,6.1000000000000005,5,8
2020-07-07,102900005119944,2.216,17.0,0,6
2020-07-07,102900005119975,14.121,5.0,18,13
2020-07-07,102900005123880,1.787,12.0,0,5
2020-07-07,102900005125808,2.738,25.8,0,39
2020-07-07,102900005125815,13.453000000000001,9.65,1,42
2020-07-07,102900011000328,11.96,14.0,0,44
2020-07-07,102900011001219,1.374,18.0,0,4
2020-07-07,102900011001813,4.0,3.3,1,3
2020-07-07,102900011006689,1.266,11.0,0,1
2020-07-07,102900011006948,3.416,16.0,0,9
2020-07-07,102900011008522,8.107,8.0,0,12
2020-07-07,102900011009970,22.699,9.0,0,49
2020-07-07,102900051004294,4.226,12.0,0,23
2020-07-07,102900051010455,8.897,9.0,0,19
2020-07-08,102900005115762,9.079,6.0,0,16
2020-07-08,102900005115779,21.339,10.0,0,57
2020-07-08,102900005115786,7.927,6.0,0,14
2020-07-08,102900005115793,5.33,16.0,0,13
2020-07-08,102900005115816,4.875,8.0,0,15
2020-07-08,102900005115823,12.569,10.0,0,30
2020-07-08,102900005115908,8.835,8.0,0,22
2020-07-08,102900005115946,4.429,7.0,0,10
2020-07-08,102900005115960,6.8100000000000005,4.0,0,9
2020-07-08,102900005115984,9.732,6.0,0,26
2020-07-08,102900005116226,5.554,8.0,0,16
2020-07-08,102900005116233,4.67,10.0,0,23
2020-07-08,102900005116257,18.588,7.35,1,32
2020-07-08,102900005116509,21.082,4.0,0,31
2020-07-08,102900005116530,14.827,19.8,0,70
2020-07-08,102900005116547,14.446,7.6,0,36
2020-07-08,102900005116714,24.641,14.0,0,52
2020-07-08,102900005116790,6.102,8.0,0,8
2020-07-08,102900005116899,8.239,16.0,0,17
2020-07-08,102900005116912,0.908,14.0,0,5
2020-07-08,102900005116943,2.697,16.0,0,12
2020-07-08,102900005117056,22.055,8.0,0,64
2020-07-08,102900005117209,1.08,14.0,0,5
2020-07-08,102900005118824,2.366,10.0,0,9
2020-07-08,102900005118831,12.0,5.883333333333333,5,6
2020-07-08,102900005119944,1.639,17.0,0,7
2020-07-08,102900005119975,18.985,5.5,21,26
2020-07-08,102900005123880,0.985,12.0,0,4
2020-07-08,102900005125808,3.165,25.8,0,32
2020-07-08,102900005125815,12.148,10.0,0,35
2020-07-08,102900011000328,20.043,12.0,8,54
2020-07-08,102900011001219,1.859,18.0,0,7
2020-07-08,102900011006948,1.146,18.0,0,3
2020-07-08,102900011008522,15.712,8.0,0,24
2020-07-08,102900011009970,20.792,9.0,0,43
2020-07-08,102900051004294,3.772,12.0,0,17
2020-07-08,102900051010455,13.7,9.0,0,26
2020-07-09,102900005115762,9.78,5.0,0,21
2020-07-09,102900005115779,33.109,10.0,0,90
2020-07-09,102900005115786,17.546,6.0,0,42
2020-07-09,102900005115793,3.761,16.0,0,8
2020-07-09,102900005115823,10.182,10.0,0,26
2020-07-09,102900005115908,8.685,4.15,1,21
2020-07-09,102900005115946,4.013,7.0,0,8
2020-07-09,102900005115960,23.142,4.0,0,23
2020-07-09,102900005115984,14.213,6.0,0,35
2020-07-09,102900005116226,3.058,8.0,0,9
2020-07-09,102900005116233,3.924,10.0,0,22
2020-07-09,102900005116257,9.949,8.0,0,18
2020-07-09,102900005116509,8.217,4.0,0,17
2020-07-09,102900005116530,10.544,19.8,0,51
2020-07-09,102900005116547,14.091,7.6,0,37
2020-07-09,102900005116714,25.205,14.0,0,54
2020-07-09,102900005116790,11.617,8.0,0,16
2020-07-09,102900005116912,1.36,14.0,0,7
2020-07-09,102900005116943,1.888,16.0,0,13
2020-07-09,102900005117056,31.46,8.0,0,91
2020-07-09,102900005117209,0.379,14.0,0,1
2020-07-09,102900005118824,2.106,10.0,0,7
2020-07-09,102900005118831,9.0,6.9,0,9
2020-07-09,102900005119944,1.543,17.0,0,7
2020-07-09,102900005119975,19.198,6.0,0,49
2020-07-09,102900005123880,1.252,12.0,0,4
2020-07-09,102900005125808,1.875,25.8,0,31
2020-07-09,102900005125815,10.299,10.0,0,31
2020-07-09,102900011000328,9.917,14.0,0,28
2020-07-09,102900011001219,0.156,18.0,0,1
2020-07-09,102900011006948,1.123,18.0,0,4
2020-07-09,102900011008522,13.772,8.0,0,22
2020-07-09,102900011009444,7.755,12.0,0,13
2020-07-09,102900011009970,15.926,9.0,0,35
2020-07-09,102900051004294,4.951,12.0,0,19
2020-07-09,102900051010455,8.298,9.0,0,16
2020-07-10,102900005115762,7.069000000000001,4.733333333333333,2,12
2020-07-10,102900005115779,13.582,9.466666666666667,3,34
2020-07-10,102900005115786,19.284,5.175,21,21
2020-07-10,102900005115793,7.827999999999999,15.033333333333333,2,14
2020-07-10,102900005115823,12.777000000000001,9.3,1,30
2020-07-10,102900005115861,0.538,3.2,0,1
2020-07-10,102900005115908,11.507,7.525,4,27
2020-07-10,102900005115946,2.378,6.75,1,5
2020-07-10,102900005115960,16.759,3.8,1,18
2020-07-10,102900005115984,28.278,5.75,3,71
2020-07-10,102900005116226,2.933,8.0,0,10
2020-07-10,102900005116233,2.605,9.5,1,14
2020-07-10,102900005116257,15.789000000000001,7.475,4,23
2020-07-10,102900005116509,15.025,3.8,1,20
2020-07-10,102900005116530,10.17,16.73,16,32
2020-07-10,102900005116547,12.456999999999999,7.8,1,30
2020-07-10,102900005116714,27.932000000000002,13.180000000000001,4,59
2020-07-10,102900005116790,2.783,7.566666666666666,2,3
2020-07-10,102900005116899,6.45,15.55,1,16
2020-07-10,102900005116912,1.465,13.5,1,6
2020-07-10,102900005116943,1.841,14.75,1,13
2020-07-10,102900005117056,21.454,9.325,3,64
2020-07-10,102900005117209,1.052,14.0,0,3
2020-07-10,102900005118824,2.575,10.0,0,11
2020-07-10,102900005118831,14.0,6.38,5,9
2020-07-10,102900005119944,1.858,17.4,1,10
2020-07-10,102900005119975,17.276999999999997,4.966666666666667,2,44
2020-07-10,102900005125808,3.835,24.266666666666666,3,45
2020-07-10,102900005125815,11.479000000000001,9.533333333333333,2,32
2020-07-10,102900011000328,21.339,11.366666666666667,2,60
2020-07-10,102900011006948,0.835,18.0,0,2
2020-07-10,102900011008522,13.334,7.65,1,20
2020-07-10,102900011009444,7.046,11.4,1,13
2020-07-10,102900011009970,34.412,6.633333333333333,6,67
2020-07-10,102900051004294,3.877,12.9,1,23
2020-07-10,102900051010455,11.604,8.3,1,23
2020-07-10,106956146480203,4.0,3.5,0,4
2020-07-11,102900005115762,8.534,4.7,4,14
2020-07-11,102900005115779,20.063,8.328571428571427,6,47
2020-07-11,102900005115786,23.588,4.583333333333333,9,48
2020-07-11,102900005115793,7.742999999999999,15.12,4,14
2020-07-11,102900005115823,22.47,9.575,4,45
2020-07-11,102900005115908,12.673,7.6,1,30
2020-07-11,102900005115946,2.98,7.0,0,8
2020-07-11,102900005115960,7.665,3.4,1,9
2020-07-11,102900005115984,48.585,5.027272727272727,15,104
2020-07-11,102900005116233,5.561,9.16,4,19
2020-07-11,102900005116257,34.025,7.428571428571429,8,58
2020-07-11,102900005116509,34.252,3.72,5,45
2020-07-11,102900005116530,19.213,17.9625,8,73
2020-07-11,102900005116547,15.078000000000001,7.325,3,32
2020-07-11,102900005116714,36.721000000000004,12.4875,7,60
2020-07-11,102900005116899,7.464,15.175,4,14
2020-07-11,102900005116912,1.803,14.0,0,10
2020-07-11,102900005116943,3.436,16.0,0,20
2020-07-11,102900005117056,23.279,9.08,4,57
2020-07-11,102900005117209,1.6019999999999999,13.3,1,6
2020-07-11,102900005118824,1.464,10.0,0,5
2020-07-11,102900005118831,16.0,6.5,3,13
2020-07-11,102900005119944,2.192,17.0,1,7
2020-07-11,102900005119975,14.35,5.5,2,34
2020-07-11,102900005123880,3.081,11.6,3,7
2020-07-11,102900005125808,4.151,22.34,8,32
2020-07-11,102900005125815,13.952,9.48,4,46
2020-07-11,102900011000328,36.705,10.95,12,99
2020-07-11,102900011001219,1.613,18.0,0,6
2020-07-11,102900011006689,9.99,7.279999999999999,6,21
2020-07-11,102900011006948,6.603,15.6,1,17
2020-07-11,102900011008522,38.851,7.2299999999999995,11,44
2020-07-11,102900011009970,39.843,5.875,7,65
2020-07-11,102900051004294,6.508,13.1,1,27
2020-07-11,102900051010455,31.025,6.82,4,52
2020-07-12,102900005115762,8.131,4.7,2,12
2020-07-12,102900005115779,30.038,9.071428571428571,11,70
2020-07-12,102900005115786,33.063,4.62,5,69
2020-07-12,102900005115793,6.829,10.266666666666667,2,15
2020-07-12,102900005115823,13.802,9.5,2,30
2020-07-12,102900005115908,19.449,7.45,5,47
2020-07-12,102900005115946,5.174,7.0,0,16
2020-07-12,102900005115960,17.036,3.766666666666667,4,16
2020-07-12,102900005115984,66.768,5.011111111111111,19,147
2020-07-12,102900005116226,3.524,7.5,2,9
2020-07-12,102900005116233,6.251,9.75,1,30
2020-07-12,102900005116257,41.141,6.566666666666666,9,59
2020-07-12,102900005116509,23.87,3.675,4,33
2020-07-12,102900005116530,15.752,18.22,4,69
2020-07-12,102900005116547,13.171999999999999,6.933333333333334,2,29
2020-07-12,102900005116714,40.69,12.385714285714286,8,77
2020-07-12,102900005116899,9.317,14.925,3,19
2020-07-12,102900005116912,1.78,14.0,0,11
2020-07-12,102900005116943,2.571,15.166666666666666,2,15
2020-07-12,102900005117056,38.286,8.828571428571427,10,105
2020-07-12,102900005117209,1.7710000000000001,15.7,1,6
2020-07-12,102900005118824,1.904,10.0,0,6
2020-07-12,102900005118831,15.0,6.9,0,15
2020-07-12,102900005119944,2.108,17.2,1,9
2020-07-12,102900005119975,13.096,5.66,8,28
2020-07-12,102900005123880,1.185,12.0,0,4
2020-07-12,102900005125808,5.121,23.5,5,48
2020-07-12,102900005125815,19.148,9.266666666666667,7,49
2020-07-12,102900011000328,6.255000000000001,10.25,3,21
2020-07-12,102900011001219,1.275,17.65,1,5
2020-07-12,102900011006689,6.126,7.65,1,15
2020-07-12,102900011006948,2.376,18.0,0,7
2020-07-12,102900011008522,30.467,7.466666666666666,2,43
2020-07-12,102900011009444,16.695,8.92,4,26
2020-07-12,102900011009970,30.924999999999997,6.3999999999999995,9,54
2020-07-12,102900051000944,2.7729999999999997,27.700000000000003,1,7
2020-07-12,102900051004294,6.220000000000001,11.6,1,28
2020-07-12,102900051010455,32.833999999999996,6.914285714285714,6,56
2020-07-12,106956146480197,4.0,3.5,0,4
2020-07-13,102900005115779,32.985,9.028571428571428,7,80
2020-07-13,102900005115786,12.389000000000001,3.5,5,26
2020-07-13,102900005115793,3.605,16.0,0,9
2020-07-13,102900005115823,12.507,8.833333333333334,2,27
2020-07-13,102900005115908,6.279,7.533333333333334,2,14
2020-07-13,102900005115946,3.153,7.0,0,8
2020-07-13,102900005115960,18.291999999999998,3.8,2,16
2020-07-13,102900005115984,25.288999999999998,5.525,3,61
2020-07-13,102900005116226,3.447,6.3,1,12
2020-07-13,102900005116233,4.677,9.55,4,20
2020-07-13,102900005116257,19.637999999999998,7.4,1,38
2020-07-13,102900005116509,16.131999999999998,3.7,1,25
2020-07-13,102900005116530,13.317,18.166666666666668,5,52
2020-07-13,102900005116547,12.811,7.8,1,30
2020-07-13,102900005116714,15.623999999999999,13.05,1,34
2020-07-13,102900005116899,8.506999999999998,14.8,1,20
2020-07-13,102900005116912,1.309,14.0,0,5
2020-07-13,102900005116943,1.945,16.0,0,14
2020-07-13,102900005117056,28.119999999999997,8.55,5,72
2020-07-13,102900005117209,0.879,18.0,0,2
2020-07-13,102900005118824,3.098,8.266666666666666,2,8
2020-07-13,102900005118831,8.0,6.7,1,7
2020-07-13,102900005119944,2.035,18.0,0,9
2020-07-13,102900005119975,15.786,4.96,8,29
2020-07-13,102900005123880,1.654,10.0,0,5
2020-07-13,102900005125808,3.457,24.099999999999998,2,26
2020-07-13,102900005125815,12.641,9.666666666666666,2,41
2020-07-13,102900011000328,11.827,8.866666666666667,2,30
2020-07-13,102900011001219,0.718,19.8,0,3
2020-07-13,102900011006689,7.318,8.0,0,19
2020-07-13,102900011008522,34.037,7.15,7,41
2020-07-13,102900011009444,8.609,10.0,0,14
2020-07-13,102900011009970,16.404,5.625,6,32
2020-07-13,102900051004294,4.516,11.55,1,21
2020-07-13,102900051010455,11.192,7.433333333333333,2,20
2020-07-14,102900005115779,25.063,9.766666666666666,2,71
2020-07-14,102900005115786,11.935,3.9,1,24
2020-07-14,102900005115793,4.631,16.0,0,12
2020-07-14,102900005115823,10.514,10.0,0,25
2020-07-14,102900005115908,9.826,7.7,1,19
2020-07-14,102900005115946,4.07,6.65,1,8
2020-07-14,102900005115960,13.62,4.0,0,14
2020-07-14,102900005115984,32.024,5.4,4,73
2020-07-14,102900005116226,2.608,8.0,0,7
2020-07-14,102900005116233,2.663,9.200000000000001,2,13
2020-07-14,102900005116257,13.059,7.5,2,23
2020-07-14,102900005116509,15.705,3.6999999999999997,2,25
2020-07-14,102900005116530,12.269,18.22,4,58
2020-07-14,102900005116547,13.652,8.0,0,33
2020-07-14,102900005116714,27.221,13.2,5,52
2020-07-14,102900005116899,7.684,15.45,1,17
2020-07-14,102900005116912,1.144,14.0,0,7
2020-07-14,102900005116943,1.52,14.45,1,11
2020-07-14,102900005117056,28.133,8.14,4,74
2020-07-14,102900005117209,0.406,18.0,0,1
2020-07-14,102900005118824,1.323,10.0,0,4
2020-07-14,102900005118831,15.0,6.45,1,14
2020-07-14,102900005119944,1.141,18.0,0,5
2020-07-14,102900005119975,36.337,5.58,5,89
2020-07-14,102900005123880,2.095,10.0,0,5
2020-07-14,102900005125808,2.997,25.8,0,33
2020-07-14,102900005125815,10.629999999999999,10.120000000000001,4,31
2020-07-14,102900011000328,21.389000000000003,9.333333333333334,2,50
2020-07-14,102900011001219,1.385,19.05,1,4
2020-07-14,102900011006689,4.301,8.0,0,11
2020-07-14,102900011008522,16.505,7.35,1,21
2020-07-14,102900011009444,5.9830000000000005,10.0,0,12
2020-07-14,102900011009970,30.354,5.220000000000001,5,53
2020-07-14,102900011011546,2.0,5.3,2,0
2020-07-14,102900051004294,3.549,10.8,1,16
2020-07-14,102900051010455,6.773,8.55,1,15
2020-07-14,106956146480197,4.0,3.5,0,4
2020-07-15,102900005115779,23.584,9.1,2,66
2020-07-15,102900005115786,14.196,3.8,1,31
2020-07-15,102900005115823,15.176,10.0,0,39
2020-07-15,102900005115908,10.688,7.425,3,22
2020-07-15,102900005115946,5.904,6.5,1,16
2020-07-15,102900005115960,31.647000000000002,2.7,3,31
2020-07-15,102900005115984,44.27,5.357142857142857,7,104
2020-07-15,102900005116226,4.662,7.45,1,10
2020-07-15,102900005116233,4.702,11.533333333333333,2,17
2020-07-15,102900005116257,13.849,7.45,1,29
2020-07-15,102900005116509,14.629,4.6,0,21
2020-07-15,102900005116530,7.755000000000001,18.766666666666666,2,38
2020-07-15,102900005116547,12.857999999999999,7.475,4,31
2020-07-15,102900005116714,18.8,13.075,4,36
2020-07-15,102900005116899,8.422,14.55,1,16
2020-07-15,102900005116912,1.481,12.8,1,9
2020-07-15,102900005116943,2.131,18.0,0,17
2020-07-15,102900005117056,35.739999999999995,8.175,9,94
2020-07-15,102900005117209,0.45,21.8,0,2
2020-07-15,102900005118824,1.8159999999999998,9.25,1,6
2020-07-15,102900005118831,12.0,6.9,0,12
2020-07-15,102900005119944,1.875,17.15,1,8
2020-07-15,102900005119975,15.602,5.433333333333334,2,31
2020-07-15,102900005123880,0.451,10.0,0,1
2020-07-15,102900005125808,1.188,25.8,0,14
2020-07-15,102900005125815,14.227,11.175,3,38
2020-07-15,102900011000328,19.574,10.0,0,52
2020-07-15,102900011001219,0.6920000000000001,19.8,0,3
2020-07-15,102900011006689,2.922,8.0,0,8
2020-07-15,102900011008522,22.96,8.0,0,39
2020-07-15,102900011009444,9.692,10.0,0,19
2020-07-15,102900011009970,19.162,5.525,3,34
2020-07-15,102900011011546,1.0,5.7,1,0
