单品编码,销量(千克),打折数量,原价数量
102900011010563,1.2149999999999999,0,7
102900011010891,449.754,90,800
102900011011058,1.084,2,2
102900011011546,1266.0,5,1251
102900011011669,14.708,0,63
102900011012482,90.0,24,66
102900011012871,5.795,1,34
102900011012994,1343.0,3,1337
102900011013274,2927.0,133,2788
102900011015384,3.3899999999999997,0,28
102900011015391,0.943,0,2
102900011016701,28181.741,1299,68608
102900011016909,101.379,0,193
102900011018095,978.0,0,978
102900011018132,50.815,0,75
102900011021644,25.0,17,8
102900011021675,2.388,0,6
102900011021699,6.602,0,25
102900011021842,6059.0,536,5462
102900011022030,643.0,4,635
102900011022764,2497.527,1,5901
102900011022849,1375.887,0,2340
102900011022924,30.275,0,61
102900011023075,1.0,0,1
102900011023464,3270.155,11,7894
102900011023976,62.221,2,87
102900011024010,21.0,0,19
102900011026502,6.32,0,44
102900011026618,10.512,0,27
102900011026793,10.0,0,10
102900011027462,16.829,0,41
102900011027479,163.64000000000001,0,641
102900011027615,8.472,0,21
102900011028407,33.907,0,121
102900011029176,120.249,0,453
102900011029275,1.754,0,7
102900011029299,6.843,1,28
102900011029305,28.571,8,125
102900011029688,2.886,0,4
102900011030042,313.0,56,257
102900011030059,14335.0,2057,12261
102900011030097,8856.0,2045,6810
102900011030103,587.0,90,496
102900011030110,6348.0,1408,4940
102900011030134,2053.0,580,1473
102900011030141,3071.0,894,2176
102900011030158,296.0,17,279
102900011030400,3.0,3,0
102900011030417,3.0,3,0
102900011030561,5.0,0,5
102900011030608,35.0,15,20
102900011030615,7.0,2,5
102900011030622,4.0,0,4
102900011030639,4.0,1,3
102900011030905,470.0,54,416
102900011030912,1303.0,420,883
102900011030929,741.0,301,440
102900011031100,10847.0,943,9892
102900011031216,29.0,8,21
102900011031582,932.0,251,681
102900011031599,102.0,30,72
102900011031735,18.0,1,17
102900011031742,6.0,1,5
102900011031759,13.0,0,13
102900011031841,10.0,2,8
102900011031858,1.0,0,1
102900011031926,1109.0,160,949
102900011031995,683.0,289,394
102900011032022,5178.0,923,4252
102900011032114,10.0,0,10
102900011032176,40.0,5,35
102900011032206,457.0,104,351
102900011032213,708.0,177,531
102900011032220,283.0,97,186
102900011032237,2307.0,230,2077
102900011032244,953.0,216,736
102900011032251,8240.0,1147,7092
102900011032282,41.0,6,35
102900011032343,370.209,154,903
102900011032350,76.596,14,275
102900011032367,214.81,97,553
102900011032480,2.224,4,11
102900011032589,28.601,8,98
102900011032619,414.593,152,1726
102900011032626,28.535,24,62
102900011032633,51.894999999999996,66,129
102900011032640,16.953,41,34
102900011032732,449.856,602,1323
102900011032787,1077.0,198,878
102900011032848,1868.0,249,1619
102900011033081,24.996,0,40
102900011033173,9.3,0,41
102900011033234,727.0,155,571
102900011033241,65.0,15,50
102900011033531,0.682,0,5
102900011033562,0.419,0,3
102900011033586,1.153,0,5
102900011033906,6501.052,78,6325
102900011033913,0.615,0,2
102900011033920,1883.243,276,3116
102900011033937,473.315,297,851
102900011033944,1304.983,1554,3507
102900011033968,9.24,4,40
102900011033975,190.522,17,510
102900011033982,297.158,19,589
102900011033999,4.981000000000001,0,12
102900011034026,5825.591,1592,10768
102900011034200,426.0,124,301
102900011034217,342.0,91,251
102900011034224,4059.0,625,3432
102900011034231,6935.0,1019,5902
102900011034262,93.0,6,87
102900011034316,9.381,0,27
102900011034323,6.009,0,28
102900011034330,4233.0,844,3385
102900011034354,200.0,0,41
102900011034439,1258.0,119,1139
102900011034538,3.0,0,3
102900011034569,40.0,16,24
102900011034705,8.0,5,3
102900011035078,769.634,339,2847
102900011035481,127.0,38,89
102900011035511,348.8,56,576
102900011035740,371.0,116,255
102900011035764,186.831,25,238
102900011035771,156.054,31,412
102900011035788,379.0,10,369
102900011035849,16.538,0,39
102900011035962,11.398,0,19
102900011036068,13.0,5,8
102900011036242,45.0,5,40
102900011036266,3.0,0,3
102900011036686,27.0,11,16
102900051000463,1047.689,1,1772
102900051000890,0.671,0,1
102900051000944,745.554,78,1989
102900051004294,2220.351,36,10568
102900051006229,18.614,0,34
102900051009220,40.726,0,100
102900051009336,39.977,12,309
102900051010455,7993.683,373,13988
102900051010790,27.022,1,152
106930274220092,400.0,0,400
106930274620090,709.0,71,637
106931885000035,7.0,0,7
106931885000356,2.0,0,2
106949711300068,2549.0,2,2534
106949711300167,3181.0,243,2936
106949711300259,15602.0,1183,14402
106956146480197,251.0,6,245
106956146480203,95.0,0,95
106957634300010,168.0,1,163
106957634300058,81.0,3,78
106958851400125,2150.0,12,2137
106971533450003,1303.0,292,1008
106971533455008,1776.0,194,1581
106971563780002,8.0,0,8
106972776821582,128.0,4,88
106973223300667,1.0,0,1
106973990980123,109.0,31,78
