销售日期,单品编码,销售单价(元/千克),销售类型,是否打折销售,打折/原价的计数总量,销量(千克)
2020-07-02,102900005116714,14.0,1,0,65,30.109
2020-07-02,102900005116790,8.0,1,0,17,10.625
2020-07-02,102900005116912,14.0,1,0,9,1.539
2020-07-02,102900005116943,16.0,1,0,10,1.679
2020-07-02,102900005117056,7.6,1,0,98,39.81
2020-07-02,102900005117209,14.0,1,0,5,1.825
2020-07-02,102900005118824,10.0,1,0,13,4.342
2020-07-02,102900005118831,6.1,1,1,1,1.0
2020-07-02,102900005118831,6.3,1,1,2,2.0
2020-07-02,102900005118831,6.5,1,1,3,4.0
2020-07-02,102900005118831,6.9,1,0,6,6.0
2020-07-02,102900005119944,16.0,1,0,7,2.254
2020-07-02,102900005119975,4.0,1,1,25,10.728
2020-07-02,102900005119975,6.0,1,0,32,11.821
2020-07-02,102900005123880,12.0,1,0,5,1.679
2020-07-02,102900005125808,25.8,1,0,44,4.148
2020-07-02,102900005125815,10.0,1,0,32,10.164
2020-07-02,102900011000328,10.0,1,0,23,5.844
2020-07-02,102900011001219,12.0,1,0,4,1.3940000000000001
2020-07-02,102900011006689,10.0,1,0,6,1.392
2020-07-02,102900011006948,16.0,1,0,2,0.857
2020-07-02,102900011008522,8.0,1,0,25,13.548
2020-07-02,102900011009970,9.0,1,0,30,13.834
2020-07-02,102900051000944,37.6,1,0,1,0.258
2020-07-02,102900051004294,14.0,1,0,16,4.721
2020-07-02,102900051010455,3.8,1,1,1,0.635
2020-07-02,102900051010455,9.0,1,0,9,4.176
2020-07-03,102900005115762,6.0,1,0,12,7.694
2020-07-03,102900005115779,8.0,1,0,93,36.309
2020-07-03,102900005115786,4.0,1,1,4,2.061
2020-07-03,102900005115786,6.0,1,0,20,9.064
2020-07-03,102900005115793,16.0,1,0,7,3.099
2020-07-03,102900005115823,5.9,1,1,1,0.461
2020-07-03,102900005115823,10.0,1,0,28,12.659
2020-07-03,102900005115908,8.0,1,0,20,8.173
2020-07-03,102900005115946,7.0,1,0,5,2.306
2020-07-03,102900005115960,3.6,1,0,15,10.446
2020-07-03,102900005115984,6.0,1,0,83,36.709
2020-07-03,102900005116226,8.0,1,0,6,2.331
2020-07-03,102900005116233,10.0,1,0,21,4.738
2020-07-03,102900005116257,7.0,1,0,33,17.553
2020-07-03,102900005116509,4.0,1,0,24,18.343
2020-07-03,102900005116530,19.8,1,0,69,15.29
2020-07-03,102900005116547,7.0,1,0,36,14.633
2020-07-03,102900005116714,14.0,1,0,64,26.46
2020-07-03,102900005116790,8.0,1,0,10,6.943
2020-07-03,102900005116912,14.0,1,0,7,1.259
2020-07-03,102900005116943,16.0,1,0,13,1.904
2020-07-03,102900005117056,7.6,1,0,87,32.351
2020-07-03,102900005117209,14.0,1,0,4,1.581
2020-07-03,102900005118824,6.0,1,1,11,3.979
2020-07-03,102900005118824,7.0,1,1,2,0.745
2020-07-03,102900005118824,8.0,1,1,2,0.438
2020-07-03,102900005118824,10.0,1,0,15,4.41
2020-07-03,102900005118831,6.5,1,1,2,2.0
2020-07-03,102900005118831,6.9,0,0,1,-1.0
2020-07-03,102900005118831,6.9,1,0,11,11.0
2020-07-03,102900005119944,16.0,1,0,8,1.816
2020-07-03,102900005119975,4.0,1,1,6,2.31
2020-07-03,102900005119975,6.0,1,0,35,11.424
2020-07-03,102900005123880,12.0,1,0,4,1.369
2020-07-03,102900005125808,25.8,1,0,42,3.935
2020-07-03,102900005125815,10.0,1,0,29,9.443999999999999
2020-07-03,102900011000328,10.0,1,0,25,9.099
2020-07-03,102900011001219,14.0,1,0,7,2.239
2020-07-03,102900011006689,10.0,1,0,6,3.4779999999999998
2020-07-03,102900011006948,16.0,1,0,7,2.09
2020-07-03,102900011008522,8.0,1,0,21,13.562
2020-07-03,102900011009970,8.0,1,0,32,15.616
2020-07-03,102900051004294,14.0,1,0,18,4.7059999999999995
2020-07-03,102900051010455,9.0,1,0,19,9.991
2020-07-04,102900005115779,8.0,1,0,141,51.205
2020-07-04,102900005115786,6.0,1,0,49,20.571
2020-07-04,102900005115793,16.0,1,0,15,7.091
2020-07-04,102900005115823,10.0,1,0,64,28.186
2020-07-04,102900005115908,8.0,1,0,30,13.034
2020-07-04,102900005115946,7.0,1,0,11,4.099
2020-07-04,102900005115960,3.6,1,0,12,9.638
2020-07-04,102900005115984,5.6,1,1,1,0.368
2020-07-04,102900005115984,6.0,1,0,104,42.962
2020-07-04,102900005116226,8.0,1,0,11,3.948
2020-07-04,102900005116233,10.0,1,0,26,4.948
2020-07-04,102900005116257,7.0,1,0,65,33.045
2020-07-04,102900005116509,4.0,1,0,34,24.022
2020-07-04,102900005116530,17.8,1,1,3,0.438
2020-07-04,102900005116530,19.8,1,0,74,14.094
2020-07-04,102900005116547,7.0,1,0,39,16.702
2020-07-04,102900005116714,14.0,1,0,97,42.815
2020-07-04,102900005116790,8.0,1,0,9,5.2509999999999994
2020-07-04,102900005116912,14.0,1,0,5,1.596
2020-07-04,102900005116943,16.0,1,0,11,1.703
2020-07-04,102900005117056,7.6,1,0,121,45.815
2020-07-04,102900005117209,14.0,1,0,2,0.6930000000000001
2020-07-04,102900005118824,10.0,1,0,9,3.107
2020-07-04,102900005118831,5.6,1,1,1,1.0
2020-07-04,102900005118831,6.9,1,0,14,14.0
2020-07-04,102900005119944,16.0,1,0,8,1.3780000000000001
2020-07-04,102900005123880,12.0,1,0,2,0.618
2020-07-04,102900005125808,25.8,1,0,42,3.4210000000000003
2020-07-04,102900005125815,10.0,1,0,42,13.054
2020-07-04,102900011000328,13.2,1,1,1,0.444
2020-07-04,102900011000328,14.0,1,0,33,10.238
2020-07-04,102900011001219,14.0,1,0,3,0.9450000000000001
2020-07-04,102900011006689,10.0,1,0,14,4.908
2020-07-04,102900011008522,8.0,1,0,29,15.843
2020-07-04,102900011009970,8.0,1,0,29,12.847
2020-07-04,102900051000944,37.6,1,0,7,2.332
2020-07-04,102900051004294,12.0,1,0,41,8.509
2020-07-04,102900051010455,8.4,1,1,1,0.646
2020-07-04,102900051010455,9.0,1,0,31,17.785
2020-07-05,102900005115762,6.0,1,0,13,6.021
2020-07-05,102900005115779,7.8,1,1,1,0.414
2020-07-05,102900005115779,8.0,1,0,91,33.835
2020-07-05,102900005115786,5.8,1,1,1,0.418
2020-07-05,102900005115786,6.0,1,0,68,30.519
2020-07-05,102900005115823,9.7,1,1,1,0.421
2020-07-05,102900005115823,10.0,1,0,27,11.617
2020-07-05,102900005115908,8.0,1,0,24,10.791
2020-07-05,102900005115946,7.0,1,0,10,3.568
2020-07-05,102900005115960,4.0,1,0,10,9.698
2020-07-05,102900005115984,6.0,1,0,28,12.594
2020-07-05,102900005116226,8.0,1,0,10,3.535
2020-07-05,102900005116233,10.0,1,0,37,7.412
2020-07-05,102900005116257,6.8,1,1,1,0.473
2020-07-05,102900005116257,7.0,1,0,49,26.493
2020-07-05,102900005116509,4.0,1,0,37,24.423000000000002
2020-07-05,102900005116530,19.8,1,0,83,18.406
2020-07-05,102900005116547,7.0,1,0,44,18.991
2020-07-05,102900005116714,14.0,1,0,82,42.365
2020-07-05,102900005116912,14.0,1,0,11,1.772
2020-07-05,102900005116943,16.0,1,0,21,2.56
2020-07-05,102900005117056,7.6,1,0,144,53.874
2020-07-05,102900005117209,14.0,1,0,5,1.395
2020-07-05,102900005118824,10.0,1,0,12,4.019
2020-07-05,102900005118831,6.3,1,1,1,1.0
2020-07-05,102900005118831,6.4,1,1,1,1.0
2020-07-05,102900005118831,6.6,1,1,1,1.0
2020-07-05,102900005118831,6.9,1,0,10,10.0
2020-07-05,102900005119975,6.0,1,0,147,55.159
2020-07-05,102900005123880,12.0,1,0,2,0.626
2020-07-05,102900005125808,25.8,1,0,43,3.6990000000000003
2020-07-05,102900005125815,10.0,1,0,49,14.044
2020-07-05,102900011000328,13.6,1,1,1,0.465
2020-07-05,102900011000328,14.0,1,0,44,15.173
2020-07-05,102900011001219,16.0,1,0,4,1.282
2020-07-05,102900011001813,3.5,1,0,20,20.0
2020-07-05,102900011006689,11.0,1,0,13,3.625
2020-07-05,102900011008522,8.0,1,0,30,17.408
2020-07-05,102900011009444,11.7,1,1,1,0.401
2020-07-05,102900011009444,12.0,1,0,23,10.026
2020-07-05,102900011009970,8.0,1,0,24,13.109
2020-07-05,102900051004294,12.0,1,0,41,8.475
2020-07-05,102900051010455,9.0,1,0,31,14.811
2020-07-06,102900005115762,6.0,1,0,10,5.854
2020-07-06,102900005115779,8.0,1,0,99,36.532
2020-07-06,102900005115786,6.0,1,0,27,14.131
2020-07-06,102900005115793,16.0,1,0,16,6.496
2020-07-06,102900005115823,10.0,1,0,30,13.458
2020-07-06,102900005115908,8.0,1,0,25,10.162
2020-07-06,102900005115946,7.0,1,0,10,3.539
2020-07-06,102900005115960,4.0,1,0,21,14.098
2020-07-06,102900005115984,6.0,1,0,31,11.053
2020-07-06,102900005116226,8.0,1,0,12,3.896
2020-07-06,102900005116233,10.0,1,0,19,4.308
2020-07-06,102900005116257,8.0,1,0,19,8.96
2020-07-06,102900005116509,4.0,1,0,26,16.434
2020-07-06,102900005116530,19.8,1,0,64,13.35
2020-07-06,102900005116547,7.0,1,0,28,11.911
2020-07-06,102900005116714,13.2,1,1,1,0.444
2020-07-06,102900005116714,14.0,1,0,51,23.99
2020-07-06,102900005116912,14.0,1,0,5,1.103
2020-07-06,102900005116943,16.0,1,0,14,2.0140000000000002
2020-07-06,102900005117056,7.6,1,0,75,26.296
2020-07-06,102900005117209,14.0,1,0,4,1.2730000000000001
2020-07-06,102900005118824,9.7,1,1,1,0.381
2020-07-06,102900005118824,10.0,1,0,10,2.708
2020-07-06,102900005118831,6.6,1,1,1,1.0
2020-07-06,102900005118831,6.9,1,0,9,9.0
2020-07-06,102900005119944,17.0,1,0,6,1.202
2020-07-06,102900005119975,6.0,1,0,39,15.903
2020-07-06,102900005123880,12.0,1,0,3,1.127
2020-07-06,102900005125808,25.8,1,0,38,3.064
2020-07-06,102900005125815,10.0,1,0,30,9.012
2020-07-06,102900011000328,14.0,1,0,32,10.36
2020-07-06,102900011001219,18.0,1,0,3,1.234
2020-07-06,102900011001813,3.4,1,1,1,1.0
2020-07-06,102900011001813,3.5,1,0,3,3.0
2020-07-06,102900011006948,15.6,1,1,1,0.263
2020-07-06,102900011006948,16.0,1,0,14,5.4190000000000005
2020-07-06,102900011008522,6.0,1,1,13,11.038
2020-07-06,102900011008522,8.0,1,0,55,29.163
2020-07-06,102900011009444,12.0,1,0,12,5.333
2020-07-06,102900011009970,9.0,1,0,34,18.287
2020-07-06,102900051004294,12.0,1,0,23,5.11
2020-07-06,102900051010455,9.0,1,0,18,8.631
2020-07-07,102900005115762,6.0,1,0,15,8.062
2020-07-07,102900005115779,10.0,1,0,79,30.058
2020-07-07,102900005115786,6.0,1,0,29,11.756
2020-07-07,102900005115793,16.0,1,0,14,6.929
2020-07-07,102900005115823,10.0,1,0,26,9.861
2020-07-07,102900005115908,8.0,1,0,26,11.478
2020-07-07,102900005115946,7.0,1,0,13,5.059
2020-07-07,102900005115960,3.5,1,1,1,0.754
2020-07-07,102900005115960,4.0,1,0,23,14.074
2020-07-07,102900005115984,6.0,1,0,68,28.214
2020-07-07,102900005116226,8.0,1,0,10,3.784
2020-07-07,102900005116233,10.0,1,0,19,4.158
2020-07-07,102900005116257,8.0,1,0,29,14.6
2020-07-07,102900005116509,4.0,1,0,27,17.512
2020-07-07,102900005116530,19.8,1,0,77,14.533
2020-07-07,102900005116547,7.6,1,0,38,16.797
2020-07-07,102900005116714,14.0,1,0,48,23.05
2020-07-07,102900005116837,13.0,1,0,1,0.424
2020-07-07,102900005116912,14.0,1,0,6,1.137
2020-07-07,102900005116943,16.0,1,0,16,2.3529999999999998
2020-07-07,102900005117056,8.0,1,0,26,8.51
2020-07-07,102900005117209,14.0,1,0,5,1.323
2020-07-07,102900005118824,10.0,1,0,11,3.117
2020-07-07,102900005118831,5.6,1,1,1,1.0
2020-07-07,102900005118831,5.7,1,1,1,1.0
2020-07-07,102900005118831,6.0,1,1,1,1.0
2020-07-07,102900005118831,6.1,1,1,1,1.0
2020-07-07,102900005118831,6.3,1,1,1,1.0
2020-07-07,102900005118831,6.5,0,0,1,-1.0
2020-07-07,102900005118831,6.9,0,0,2,-2.0
2020-07-07,102900005118831,6.9,1,0,8,8.0
2020-07-07,102900005119944,17.0,1,0,6,2.2159999999999997
2020-07-07,102900005119975,4.0,1,1,18,9.423
2020-07-07,102900005119975,6.0,1,0,13,4.698
2020-07-07,102900005123880,12.0,1,0,5,1.787
2020-07-07,102900005125808,25.8,1,0,39,2.738
2020-07-07,102900005125815,9.3,1,1,1,0.441
2020-07-07,102900005125815,10.0,1,0,42,13.012
2020-07-07,102900011000328,14.0,1,0,44,11.96
2020-07-07,102900011001219,18.0,1,0,4,1.374
2020-07-07,102900011001813,3.1,1,1,1,1.0
2020-07-07,102900011001813,3.5,1,0,3,3.0
2020-07-07,102900011006689,11.0,1,0,1,1.266
2020-07-07,102900011006948,16.0,1,0,9,3.416
2020-07-07,102900011008522,8.0,1,0,12,8.107
2020-07-07,102900011009970,9.0,1,0,49,22.699
2020-07-07,102900051004294,12.0,1,0,23,4.226
2020-07-07,102900051010455,9.0,1,0,19,8.897
2020-07-08,102900005115762,6.0,1,0,16,9.079
2020-07-08,102900005115779,10.0,1,0,57,21.339
2020-07-08,102900005115786,6.0,1,0,14,7.9270000000000005
2020-07-08,102900005115793,16.0,1,0,13,5.33
2020-07-08,102900005115816,8.0,1,0,15,4.875
2020-07-08,102900005115823,10.0,1,0,30,12.568999999999999
2020-07-08,102900005115908,8.0,1,0,22,8.835
2020-07-08,102900005115946,7.0,1,0,10,4.429
2020-07-08,102900005115960,4.0,1,0,9,6.8100000000000005
2020-07-08,102900005115984,6.0,1,0,26,9.732
2020-07-08,102900005116226,8.0,1,0,16,5.554
2020-07-08,102900005116233,10.0,1,0,23,4.67
2020-07-08,102900005116257,6.7,1,1,1,0.576
2020-07-08,102900005116257,8.0,1,0,32,18.012
2020-07-08,102900005116509,4.0,1,0,31,21.082
2020-07-08,102900005116530,19.8,1,0,70,14.827
2020-07-08,102900005116547,7.6,1,0,36,14.446
2020-07-08,102900005116714,14.0,1,0,52,24.641000000000002
2020-07-08,102900005116790,8.0,1,0,8,6.102
2020-07-08,102900005116899,16.0,1,0,17,8.239
2020-07-08,102900005116912,14.0,1,0,5,0.908
2020-07-08,102900005116943,16.0,1,0,12,2.697
2020-07-08,102900005117056,8.0,1,0,64,22.055
2020-07-08,102900005117209,14.0,1,0,5,1.08
2020-07-08,102900005118824,10.0,1,0,9,2.366
2020-07-08,102900005118831,4.8,1,1,1,1.0
2020-07-08,102900005118831,5.3,1,1,1,1.0
2020-07-08,102900005118831,6.0,1,1,1,1.0
2020-07-08,102900005118831,6.1,1,1,1,1.0
2020-07-08,102900005118831,6.2,1,1,1,2.0
2020-07-08,102900005118831,6.9,0,0,5,-6.0
2020-07-08,102900005118831,6.9,1,0,6,6.0
2020-07-08,102900005119944,17.0,1,0,7,1.639
2020-07-08,102900005119975,5.0,1,1,21,9.216
2020-07-08,102900005119975,6.0,1,0,26,9.769
2020-07-08,102900005123880,12.0,1,0,4,0.985
2020-07-08,102900005125808,25.8,1,0,32,3.165
2020-07-08,102900005125815,10.0,1,0,35,12.148
2020-07-08,102900011000328,10.0,1,1,8,2.6470000000000002
2020-07-08,102900011000328,14.0,1,0,54,17.396
2020-07-08,102900011001219,18.0,1,0,7,1.859
2020-07-08,102900011006948,18.0,1,0,3,1.146
2020-07-08,102900011008522,8.0,1,0,24,15.712
2020-07-08,102900011009970,9.0,1,0,43,20.792
2020-07-08,102900051004294,12.0,1,0,17,3.7720000000000002
2020-07-08,102900051010455,9.0,1,0,26,13.7
2020-07-09,102900005115762,5.0,1,0,21,9.78
2020-07-09,102900005115779,10.0,1,0,90,33.109
2020-07-09,102900005115786,6.0,1,0,42,17.546
2020-07-09,102900005115793,16.0,1,0,8,3.761
2020-07-09,102900005115823,10.0,1,0,26,10.182
2020-07-09,102900005115908,0.3,1,1,1,0.288
2020-07-09,102900005115908,8.0,1,0,21,8.397
2020-07-09,102900005115946,7.0,1,0,8,4.013
2020-07-09,102900005115960,4.0,1,0,23,23.142
2020-07-09,102900005115984,6.0,1,0,35,14.213000000000001
2020-07-09,102900005116226,8.0,1,0,9,3.058
2020-07-09,102900005116233,10.0,1,0,22,3.924
2020-07-09,102900005116257,8.0,1,0,18,9.949
2020-07-09,102900005116509,4.0,1,0,17,8.217
2020-07-09,102900005116530,19.8,1,0,51,10.544
2020-07-09,102900005116547,7.6,1,0,37,14.091
2020-07-09,102900005116714,14.0,1,0,54,25.205000000000002
2020-07-09,102900005116790,8.0,1,0,16,11.616999999999999
2020-07-09,102900005116912,14.0,1,0,7,1.3599999999999999
2020-07-09,102900005116943,16.0,1,0,13,1.888
2020-07-09,102900005117056,8.0,1,0,91,31.46
2020-07-09,102900005117209,14.0,1,0,1,0.379
2020-07-09,102900005118824,10.0,1,0,7,2.106
2020-07-09,102900005118831,6.9,1,0,9,9.0
2020-07-09,102900005119944,17.0,1,0,7,1.5430000000000001
2020-07-09,102900005119975,6.0,1,0,49,19.198
2020-07-09,102900005123880,12.0,1,0,4,1.252
2020-07-09,102900005125808,25.8,1,0,31,1.875
2020-07-09,102900005125815,10.0,1,0,31,10.299
2020-07-09,102900011000328,14.0,1,0,28,9.917
2020-07-09,102900011001219,18.0,1,0,1,0.156
2020-07-09,102900011006948,18.0,1,0,4,1.123
2020-07-09,102900011008522,8.0,1,0,22,13.772
2020-07-09,102900011009444,12.0,1,0,13,7.755
2020-07-09,102900011009970,9.0,1,0,35,15.926
2020-07-09,102900051004294,12.0,1,0,19,4.951
2020-07-09,102900051010455,9.0,1,0,16,8.298
2020-07-10,102900005115762,4.5,1,1,1,0.623
2020-07-10,102900005115762,4.7,1,1,1,0.482
2020-07-10,102900005115762,5.0,1,0,12,5.964
2020-07-10,102900005115779,9.1,1,1,2,0.511
2020-07-10,102900005115779,9.3,1,1,1,0.241
2020-07-10,102900005115779,10.0,1,0,34,12.83
2020-07-10,102900005115786,4.0,1,1,18,9.55
2020-07-10,102900005115786,5.2,1,1,1,0.385
2020-07-10,102900005115786,5.5,1,1,2,0.9530000000000001
2020-07-10,102900005115786,6.0,1,0,21,8.396
2020-07-10,102900005115793,14.4,1,1,1,0.332
2020-07-10,102900005115793,14.7,1,1,1,0.382
2020-07-10,102900005115793,16.0,1,0,14,7.114
2020-07-10,102900005115823,8.6,1,1,1,0.21
2020-07-10,102900005115823,10.0,1,0,30,12.567
2020-07-10,102900005115861,3.2,1,0,1,0.538
2020-07-10,102900005115908,7.2,1,1,2,0.702
2020-07-10,102900005115908,7.3,1,1,1,0.313
2020-07-10,102900005115908,7.6,1,1,1,0.576
2020-07-10,102900005115908,8.0,1,0,27,9.916
2020-07-10,102900005115946,6.5,1,1,1,0.358
2020-07-10,102900005115946,7.0,1,0,5,2.02
2020-07-10,102900005115960,3.6,1,1,1,0.854
2020-07-10,102900005115960,4.0,1,0,18,15.905
2020-07-10,102900005115984,5.5,1,1,3,0.97
2020-07-10,102900005115984,6.0,1,0,71,27.308
2020-07-10,102900005116226,8.0,1,0,10,2.933
2020-07-10,102900005116233,9.0,1,1,1,0.2
2020-07-10,102900005116233,10.0,1,0,14,2.4050000000000002
2020-07-10,102900005116257,7.2,1,1,1,0.714
2020-07-10,102900005116257,7.3,1,1,1,1.165
2020-07-10,102900005116257,7.4,1,1,2,0.991
2020-07-10,102900005116257,8.0,1,0,23,12.919
2020-07-10,102900005116509,3.6,1,1,1,0.452
2020-07-10,102900005116509,4.0,1,0,20,14.573
2020-07-10,102900005116530,13.6,1,1,1,0.169
2020-07-10,102900005116530,14.4,1,1,1,0.207
2020-07-10,102900005116530,14.6,1,1,1,0.096
2020-07-10,102900005116530,15.2,1,1,1,0.269
2020-07-10,102900005116530,16.0,1,1,8,1.9829999999999999
2020-07-10,102900005116530,18.0,1,1,1,0.046
2020-07-10,102900005116530,18.1,1,1,1,0.177
2020-07-10,102900005116530,18.7,1,1,1,0.136
2020-07-10,102900005116530,18.9,1,1,1,0.167
2020-07-10,102900005116530,19.8,1,0,32,6.92
2020-07-10,102900005116547,7.6,1,1,1,0.414
2020-07-10,102900005116547,8.0,1,0,30,12.043
2020-07-10,102900005116714,12.6,1,1,1,0.372
2020-07-10,102900005116714,13.0,1,1,1,0.816
2020-07-10,102900005116714,13.1,1,1,1,0.401
2020-07-10,102900005116714,13.2,1,1,1,0.243
2020-07-10,102900005116714,14.0,1,0,59,26.1
2020-07-10,102900005116790,7.2,1,1,1,0.539
2020-07-10,102900005116790,7.5,1,1,1,0.489
2020-07-10,102900005116790,8.0,1,0,3,1.755
2020-07-10,102900005116899,15.1,1,1,1,0.244
2020-07-10,102900005116899,16.0,1,0,16,6.2059999999999995
2020-07-10,102900005116912,13.0,1,1,1,0.193
2020-07-10,102900005116912,14.0,1,0,6,1.272
2020-07-10,102900005116943,13.5,1,1,1,0.088
2020-07-10,102900005116943,16.0,1,0,13,1.7530000000000001
2020-07-10,102900005117056,9.0,1,1,1,0.411
2020-07-10,102900005117056,9.1,1,1,1,0.2
2020-07-10,102900005117056,9.2,1,1,1,0.311
2020-07-10,102900005117056,10.0,1,0,64,20.532
2020-07-10,102900005117209,14.0,1,0,3,1.052
2020-07-10,102900005118824,10.0,1,0,11,2.575
2020-07-10,102900005118831,5.8,1,1,1,1.0
2020-07-10,102900005118831,6.3,1,1,1,1.0
2020-07-10,102900005118831,6.4,1,1,1,1.0
2020-07-10,102900005118831,6.5,1,1,2,2.0
2020-07-10,102900005118831,6.9,1,0,9,9.0
2020-07-10,102900005119944,16.8,1,1,1,0.161
2020-07-10,102900005119944,18.0,1,0,10,1.697
2020-07-10,102900005119975,3.4,1,1,1,0.518
2020-07-10,102900005119975,5.5,1,1,1,0.301
2020-07-10,102900005119975,6.0,1,0,44,16.458
2020-07-10,102900005125808,23.2,1,1,2,0.097
2020-07-10,102900005125808,23.8,1,1,1,0.252
2020-07-10,102900005125808,25.8,1,0,45,3.486
2020-07-10,102900005125815,9.1,1,1,1,0.231
2020-07-10,102900005125815,9.5,1,1,1,0.15
2020-07-10,102900005125815,10.0,1,0,32,11.098
2020-07-10,102900011000328,10.8,1,1,1,0.167
2020-07-10,102900011000328,11.3,1,1,1,0.451
2020-07-10,102900011000328,12.0,1,0,60,20.721
2020-07-10,102900011006948,18.0,1,0,2,0.835
2020-07-10,102900011008522,7.3,1,1,1,0.201
2020-07-10,102900011008522,8.0,1,0,20,13.133
2020-07-10,102900011009444,10.8,1,1,1,0.376
2020-07-10,102900011009444,12.0,1,0,13,6.67
2020-07-10,102900011009970,2.4,1,1,1,0.451
2020-07-10,102900011009970,7.2,1,1,1,0.727
2020-07-10,102900011009970,7.3,1,1,2,1.2149999999999999
2020-07-10,102900011009970,7.4,1,1,1,0.614
2020-07-10,102900011009970,7.5,1,1,1,0.338
2020-07-10,102900011009970,8.0,1,0,67,31.067
2020-07-10,102900051004294,11.8,1,1,1,0.093
2020-07-10,102900051004294,14.0,1,0,23,3.784
2020-07-10,102900051010455,7.6,1,1,1,0.379
2020-07-10,102900051010455,9.0,1,0,23,11.225
2020-07-10,106956146480203,3.5,1,0,4,4.0
2020-07-11,102900005115762,4.5,1,1,2,0.843
2020-07-11,102900005115762,4.6,1,1,2,0.903
2020-07-11,102900005115762,5.0,1,0,14,6.788
2020-07-11,102900005115779,4.6,1,1,1,0.401
2020-07-11,102900005115779,7.9,1,1,1,0.21
2020-07-11,102900005115779,8.5,1,1,1,0.16
2020-07-11,102900005115779,8.8,1,1,1,0.381
2020-07-11,102900005115779,9.1,1,1,1,0.16
2020-07-11,102900005115779,9.4,1,1,1,0.301
2020-07-11,102900005115779,10.0,1,0,47,18.45
2020-07-11,102900005115786,4.2,1,1,1,0.281
2020-07-11,102900005115786,4.3,1,1,2,0.984
2020-07-11,102900005115786,4.5,1,1,3,1.104
2020-07-11,102900005115786,4.7,1,1,2,0.642
2020-07-11,102900005115786,4.8,1,1,1,0.402
2020-07-11,102900005115786,5.0,1,0,48,20.175
2020-07-11,102900005115793,14.6,1,1,1,0.313
2020-07-11,102900005115793,14.7,1,1,1,0.626
2020-07-11,102900005115793,14.9,1,1,1,0.313
2020-07-11,102900005115793,15.4,1,1,1,0.282
2020-07-11,102900005115793,16.0,1,0,14,6.209
2020-07-11,102900005115823,9.2,1,1,1,0.21
