销售年月,单品编码,销量(千克),打折数量,原价数量
2020-08,102900005115786,381.047,13,875
2020-08,102900005115793,198.076,0,451
2020-08,102900005115823,702.708,107,1509
2020-08,102900005115908,542.157,91,1198
2020-08,102900005115946,44.144,0,117
2020-08,102900005115960,558.961,1,625
2020-08,102900005115984,745.185,16,1829
2020-08,102900005116219,14.171,0,72
2020-08,102900005116226,103.051,0,286
2020-08,102900005116233,119.141,3,489
2020-08,102900005116257,545.528,1,1002
2020-08,102900005116509,283.768,3,458
2020-08,102900005116530,412.395,3,1933
2020-08,102900005116547,394.33,0,899
2020-08,102900005116714,900.215,105,1984
2020-08,102900005116790,177.049,0,285
2020-08,102900005116899,720.562,16,1265
2020-08,102900005116912,42.893,2,205
2020-08,102900005116943,45.711,0,326
2020-08,102900005117056,1826.069,2,4793
2020-08,102900005117209,14.843,0,44
2020-08,102900005118817,26.014,5,66
2020-08,102900005118824,42.367,0,150
2020-08,102900005118831,331.0,14,317
2020-08,102900005119944,58.974000000000004,0,268
2020-08,102900005119975,611.98,23,1494
2020-08,102900005123880,21.339,1,61
2020-08,102900005125808,105.033,2,1034
2020-08,102900005125815,353.231,12,1132
2020-08,102900011000175,91.272,6,247
2020-08,102900011000328,393.622,2,1170
2020-08,102900011001219,29.222,1,82
2020-08,102900011001561,55.0,0,26
2020-08,102900011001691,10.155000000000001,2,26
2020-08,102900011001806,61.0,0,61
2020-08,102900011001813,72.0,0,72
2020-08,102900011006689,50.766999999999996,3,127
2020-08,102900011006948,35.620000000000005,2,98
2020-08,102900011007969,2.625,0,10
2020-08,102900011008164,19.555,0,52
2020-08,102900011008522,521.876,0,641
2020-08,102900011009246,15.302,0,73
2020-08,102900011009444,294.539,1,581
2020-08,102900011009970,848.443,3,1743
2020-08,102900011010891,2.6670000000000003,0,5
2020-08,102900011011546,82.0,0,82
2020-08,102900011012994,15.0,0,15
2020-08,102900011013274,36.0,0,36
2020-08,102900051000463,15.558,0,29
2020-08,102900051000944,33.804,0,126
2020-08,102900051004294,150.312,3,753
2020-08,102900051009336,0.399,0,2
2020-08,102900051010455,1082.012,3,1879
2020-08,106956146480197,93.0,1,92
2020-09,102900005115250,1.6660000000000001,0,7
2020-09,102900005115762,139.108,1,307
2020-09,102900005115779,856.958,0,2228
2020-09,102900005115786,262.864,18,549
2020-09,102900005115793,150.807,3,344
2020-09,102900005115823,529.028,28,1168
2020-09,102900005115861,56.725,3,143
2020-09,102900005115878,81.742,2,212
2020-09,102900005115885,5.324000000000001,2,14
2020-09,102900005115908,382.959,42,810
2020-09,102900005115946,75.688,0,198
2020-09,102900005115960,600.052,0,544
2020-09,102900005115984,319.056,0,789
2020-09,102900005116226,58.53,0,175
2020-09,102900005116233,159.446,0,613
2020-09,102900005116257,274.319,2,579
2020-09,102900005116509,213.26500000000001,0,350
2020-09,102900005116530,377.6,1,1773
2020-09,102900005116547,315.389,0,785
2020-09,102900005116714,802.842,32,1834
2020-09,102900005116790,226.56300000000002,0,345
2020-09,102900005116837,64.812,0,285
2020-09,102900005116899,757.64,25,1256
2020-09,102900005116912,34.671,0,178
2020-09,102900005116943,38.441,0,251
2020-09,102900005117056,1251.846,1,3325
2020-09,102900005117209,14.841,0,52
2020-09,102900005118817,50.012,3,126
2020-09,102900005118824,38.565,0,138
2020-09,102900005118831,176.0,0,176
2020-09,102900005119098,16.419,19,49
2020-09,102900005119944,50.997,0,226
2020-09,102900005119968,8.052,0,40
2020-09,102900005119975,255.542,12,626
2020-09,102900005123880,17.143,0,48
2020-09,102900005125808,67.914,0,732
2020-09,102900005125815,221.127,0,685
2020-09,102900011000328,227.622,0,687
2020-09,102900011001219,20.706,0,60
2020-09,102900011001806,98.0,0,98
2020-09,102900011001813,171.0,0,171
2020-09,102900011006689,47.205,0,121
2020-09,102900011007044,1.0,0,1
2020-09,102900011007464,1.83,0,14
2020-09,102900011007969,1.522,0,8
2020-09,102900011008164,225.305,0,544
2020-09,102900011008522,582.016,8,691
2020-09,102900011009246,15.55,0,68
2020-09,102900011009970,533.224,2,1011
2020-09,102900011010563,1.2149999999999999,0,7
2020-09,102900011011546,102.0,0,102
2020-09,102900011012871,0.4819999999999999,1,2
2020-09,102900011012994,11.0,0,11
2020-09,102900011013274,82.0,0,82
2020-09,102900011016701,13.668,0,36
2020-09,102900011016909,7.818,0,18
2020-09,102900051000463,176.29,0,286
2020-09,102900051000944,1.204,0,5
2020-09,102900051004294,114.204,0,594
2020-09,102900051009336,5.2780000000000005,0,47
2020-09,102900051010455,646.668,0,1246
2020-09,106956146480197,73.0,0,73
2020-10,102900005115168,13.677999999999999,0,33
2020-10,102900005115779,689.728,0,1842
2020-10,102900005115786,23.4,0,47
2020-10,102900005115793,76.752,0,178
2020-10,102900005115823,256.74,0,594
2020-10,102900005115854,71.835,0,134
2020-10,102900005115861,627.172,0,1559
2020-10,102900005115878,312.652,0,832
2020-10,102900005115885,34.796,0,93
2020-10,102900005115908,314.142,53,580
2020-10,102900005115946,14.754999999999999,0,44
2020-10,102900005115960,1457.17,0,1264
2020-10,102900005115984,337.648,0,839
2020-10,102900005116226,45.326,0,161
2020-10,102900005116233,98.944,0,424
2020-10,102900005116257,313.084,0,624
2020-10,102900005116509,124.211,0,218
2020-10,102900005116530,589.565,0,2408
2020-10,102900005116547,507.039,0,1266
2020-10,102900005116714,928.648,67,1929
2020-10,102900005116790,332.362,0,499
2020-10,102900005116837,196.757,0,641
2020-10,102900005116899,1326.863,132,1875
2020-10,102900005116912,23.834,0,131
2020-10,102900005116943,39.537,0,284
2020-10,102900005117056,1301.908,0,3535
2020-10,102900005117209,14.177,0,48
2020-10,102900005118572,15.501,0,38
2020-10,102900005118817,509.814,9,1420
2020-10,102900005118824,17.255,0,56
2020-10,102900005118831,367.0,0,367
2020-10,102900005119098,2.889,2,10
2020-10,102900005119944,35.539,0,154
2020-10,102900005119975,3.856,0,10
2020-10,102900005122654,14.404,0,59
2020-10,102900005123880,15.311,0,50
2020-10,102900005125808,69.732,0,710
2020-10,102900005125815,129.318,0,416
2020-10,102900011000328,168.422,0,566
2020-10,102900011001219,20.213,0,63
2020-10,102900011001806,123.0,0,123
2020-10,102900011001813,543.0,0,403
2020-10,102900011006689,52.2,0,142
2020-10,102900011008164,222.643,2,535
2020-10,102900011008522,419.96,0,461
2020-10,102900011009246,20.296,0,92
2020-10,102900011009444,159.459,0,325
2020-10,102900011009970,716.3149999999999,0,1227
2020-10,102900011011546,228.0,1,226
2020-10,102900011012871,0.764,0,6
2020-10,102900011012994,348.0,0,346
2020-10,102900011013274,149.0,0,149
2020-10,102900011018095,93.0,0,93
2020-10,102900051000463,175.213,0,271
2020-10,102900051004294,136.252,0,685
2020-10,102900051009336,7.87,0,72
2020-10,102900051010455,228.933,0,449
2020-10,106931885000035,4.0,0,4
2020-11,102900005115168,13.126,0,28
2020-11,102900005115199,6.176,2,39
2020-11,102900005115250,163.681,0,628
2020-11,102900005115748,22.95,0,51
2020-11,102900005115779,375.57099999999997,0,996
2020-11,102900005115793,26.923000000000002,3,64
2020-11,102900005115823,152.065,0,338
2020-11,102900005115854,18.092,0,42
2020-11,102900005115861,798.984,0,1560
2020-11,102900005115878,453.115,28,1052
2020-11,102900005115885,55.81,0,146
2020-11,102900005115908,196.172,4,454
2020-11,102900005115960,2623.119,0,1975
2020-11,102900005115977,30.205,0,111
2020-11,102900005115984,330.112,0,745
2020-11,102900005116226,44.339,0,143
2020-11,102900005116233,116.64,0,445
2020-11,102900005116257,228.74,0,496
2020-11,102900005116509,83.441,0,162
2020-11,102900005116530,336.568,0,1245
2020-11,102900005116547,398.345,0,905
2020-11,102900005116714,1309.96,0,2540
2020-11,102900005116790,171.609,0,269
2020-11,102900005116837,295.889,5,819
2020-11,102900005116899,944.824,123,1345
2020-11,102900005116943,26.255,0,164
2020-11,102900005117056,1349.9470000000001,0,3376
2020-11,102900005117209,13.523,0,48
2020-11,102900005118817,341.019,8,942
2020-11,102900005118831,192.0,1,191
2020-11,102900005122654,193.102,0,408
2020-11,102900005123880,19.55,0,68
2020-11,102900005125808,51.945,0,554
2020-11,102900005125815,80.489,0,275
2020-11,102900011000328,105.901,0,347
2020-11,102900011001219,19.047,0,63
2020-11,102900011001806,112.0,0,112
2020-11,102900011001813,892.0,0,871
2020-11,102900011006689,24.107,0,64
2020-11,102900011008164,201.579,2,438
2020-11,102900011008522,166.385,0,194
2020-11,102900011008577,1.0,0,1
2020-11,102900011008676,6.183,3,11
2020-11,102900011009246,16.105,0,64
2020-11,102900011009444,59.468,0,140
2020-11,102900011009970,633.856,0,1086
2020-11,102900011011546,413.0,0,404
2020-11,102900011011669,4.77,0,21
2020-11,102900011012871,0.616,0,4
2020-11,102900011012994,133.0,0,133
2020-11,102900011013274,284.0,0,284
2020-11,102900011016909,6.174,0,10
2020-11,102900011018095,150.0,0,150
2020-11,102900011018132,16.999,0,23
2020-11,102900051000463,55.449,0,83
2020-11,102900051004294,90.988,0,481
2020-11,102900051010455,121.41499999999999,0,246
2020-11,106931885000035,1.0,0,1
2020-12,102900005115168,5.972,0,17
2020-12,102900005115250,0.5650000000000001,0,2
2020-12,102900005115748,9.754999999999999,0,28
2020-12,102900005115779,388.756,0,967
2020-12,102900005115793,10.151,0,29
2020-12,102900005115823,152.823,0,293
2020-12,102900005115861,594.6129999999999,24,1232
2020-12,102900005115878,231.415,5,603
2020-12,102900005115885,31.48,0,85
2020-12,102900005115908,87.041,0,204
2020-12,102900005115960,3706.822,0,2456
2020-12,102900005115977,15.373,0,54
2020-12,102900005115984,420.726,1,903
2020-12,102900005116226,39.4,0,129
2020-12,102900005116233,99.989,0,396
2020-12,102900005116257,301.44599999999997,0,667
2020-12,102900005116509,46.432,0,98
2020-12,102900005116530,797.63,104,2789
2020-12,102900005116547,325.795,0,831
2020-12,102900005116714,682.0889999999999,8,1535
2020-12,102900005116790,130.9,0,253
2020-12,102900005116837,386.469,0,991
2020-12,102900005116899,1237.818,234,1529
2020-12,102900005116912,16.974,0,78
2020-12,102900005116943,16.776,0,108
2020-12,102900005117056,950.286,0,2567
2020-12,102900005117209,29.177,0,80
2020-12,102900005118817,304.378,23,850
2020-12,102900005118824,4.667,0,15
2020-12,102900005118831,207.0,0,207
2020-12,102900005119098,91.893,79,236
2020-12,102900005119944,24.244,0,101
2020-12,102900005122654,190.451,3,397
2020-12,102900005123880,17.899,0,62
2020-12,102900005125808,54.416,0,439
2020-12,102900005125815,83.676,0,269
2020-12,102900011000328,105.539,1,347
2020-12,102900011000571,43.313,2,97
2020-12,102900011001219,30.969,0,84
2020-12,102900011001806,92.0,0,92
2020-12,102900011001813,398.0,49,347
2020-12,102900011006689,31.25,0,96
2020-12,102900011007044,26.0,0,26
2020-12,102900011008164,82.247,0,173
2020-12,102900011008522,106.724,0,127
2020-12,102900011008676,5.274,3,8
2020-12,102900011009246,19.449,0,81
2020-12,102900011009277,460.827,33,759
2020-12,102900011009444,10.927999999999999,0,28
2020-12,102900011009970,553.833,0,979
2020-12,102900011011546,381.0,0,381
2020-12,102900011011669,5.822,0,26
2020-12,102900011012871,3.933,0,22
2020-12,102900011012994,86.0,0,86
2020-12,102900011013274,182.0,6,176
2020-12,102900011016909,21.973,0,46
2020-12,102900011018095,201.0,0,201
2020-12,102900011018132,26.334,0,37
2020-12,102900011021699,2.334,0,9
2020-12,102900011021842,169.0,0,169
2020-12,102900051000463,28.216,0,42
2020-12,102900051004294,83.68,0,440
2020-12,102900051009336,0.513,0,4
2020-12,102900051010455,145.255,0,249
2020-12,106930274220092,9.0,0,9
2020-12,106949711300068,291.0,0,291
2020-12,106956146480203,39.0,0,39
2020-12,106958851400125,14.0,0,14
2021-01,102900005115250,202.459,1,759
2021-01,102900005115762,16.485,0,31
2021-01,102900005115779,382.12,0,1026
2021-01,102900005115786,31.988,0,86
2021-01,102900005115823,255.91899999999998,0,523
2021-01,102900005115854,7.553,0,16
2021-01,102900005115861,267.354,1,581
2021-01,102900005115878,169.161,0,472
2021-01,102900005115885,17.241,0,58
2021-01,102900005115908,111.879,0,271
2021-01,102900005115946,2.034,0,7
2021-01,102900005115960,2806.808,0,2217
2021-01,102900005115984,473.764,0,1020
2021-01,102900005116226,63.314,0,191
2021-01,102900005116233,99.139,0,354
2021-01,102900005116257,426.466,0,932
2021-01,102900005116509,62.772,0,120
2021-01,102900005116530,596.752,0,2228
2021-01,102900005116547,315.649,0,758
2021-01,102900005116714,658.916,66,1400
2021-01,102900005116790,186.03,0,414
2021-01,102900005116837,309.738,0,819
2021-01,102900005116899,1057.939,17,1461
2021-01,102900005116912,25.62,0,115
2021-01,102900005116943,31.697,0,158
2021-01,102900005117056,1290.664,295,2991
2021-01,102900005117209,29.48,0,80
2021-01,102900005118817,228.88,2,678
2021-01,102900005118831,258.0,0,258
2021-01,102900005119098,47.004,20,153
2021-01,102900005119944,24.476,0,99
2021-01,102900005119968,1.685,0,9
2021-01,102900005122654,788.066,89,1360
2021-01,102900005123880,9.124,0,28
2021-01,102900005125808,53.862,0,396
2021-01,102900005125815,107.527,0,336
2021-01,102900011000328,133.139,0,505
2021-01,102900011000571,63.059,0,161
2021-01,102900011000632,9.725,0,17
2021-01,102900011001219,31.348,0,85
2021-01,102900011001806,110.0,0,110
2021-01,102900011006689,62.923,0,174
2021-01,102900011007044,17.0,0,17
2021-01,102900011008164,92.72500000000001,0,202
2021-01,102900011008522,32.184,0,41
2021-01,102900011009246,25.47,0,99
2021-01,102900011009277,310.928,0,442
2021-01,102900011009970,593.806,0,1229
2021-01,102900011012994,125.0,0,125
2021-01,102900011013274,184.0,0,184
2021-01,102900011018095,192.0,0,192
2021-01,102900011018132,5.043,0,9
2021-01,102900011021842,549.0,0,549
2021-01,102900011022030,65.0,0,65
2021-01,102900011022764,12.353,0,30
2021-01,102900051004294,111.578,0,488
2021-01,102900051009336,1.0030000000000001,0,8
2021-01,102900051010455,158.02,0,260
2021-01,106930274220092,67.0,0,67
2021-01,106949711300068,405.0,0,404
2021-01,106956146480203,15.0,0,15
2021-01,106958851400125,273.0,0,273
2021-02,102900005115199,3.692,0,20
2021-02,102900005115250,740.495,47,2359
2021-02,102900005115748,91.006,0,161
2021-02,102900005115762,32.731,0,55
2021-02,102900005115779,538.707,52,1231
2021-02,102900005115786,33.304,0,76
2021-02,102900005115823,408.955,25,804
2021-02,102900005115854,21.552,0,51
2021-02,102900005115861,143.726,0,298
2021-02,102900005115878,332.032,0,766
2021-02,102900005115885,138.576,1,358
2021-02,102900005115908,152.513,4,294
2021-02,102900005115960,1575.099,11,1069
2021-02,102900005115984,752.867,37,1402
2021-02,102900005116219,2.847,0,12
2021-02,102900005116226,73.828,0,209
2021-02,102900005116233,505.56,0,1560
2021-02,102900005116257,657.628,0,1230
2021-02,102900005116509,59.794999999999995,0,112
2021-02,102900005116530,46.465,0,175
2021-02,102900005116547,443.06800000000004,0,1057
2021-02,102900005116714,850.322,0,1715
2021-02,102900005116790,89.669,0,173
2021-02,102900005116837,290.691,0,681
2021-02,102900005116899,1165.822,57,1364
2021-02,102900005116905,1.176,0,3
2021-02,102900005116912,16.738,0,70
2021-02,102900005116943,84.945,0,422
2021-02,102900005117056,652.43,0,1379
2021-02,102900005117209,11.447999999999999,0,39
2021-02,102900005118817,189.705,0,473
2021-02,102900005118824,6.548,0,19
2021-02,102900005118831,240.0,9,231
2021-02,102900005119098,35.536,10,111
2021-02,102900005119944,21.102,0,73
2021-02,102900005119968,3.2969999999999997,0,15
2021-02,102900005119975,2.698,0,6
2021-02,102900005122654,598.428,0,904
2021-02,102900005123880,8.129999999999999,0,24
2021-02,102900005125808,147.26500000000001,0,1145
2021-02,102900005125815,149.253,0,391
2021-02,102900011000328,377.257,26,986
2021-02,102900011000571,33.769,0,88
2021-02,102900011000632,1.461,0,2
2021-02,102900011001219,10.659,0,35
2021-02,102900011001806,54.0,0,54
2021-02,102900011002414,0.919,0,4
2021-02,102900011006689,44.480000000000004,0,122
2021-02,102900011007044,1.0,0,1
2021-02,102900011007464,0.289,0,2
2021-02,102900011008133,4.231,0,11
2021-02,102900011008164,151.013,0,337
2021-02,102900011008676,3.314,0,8
2021-02,102900011009246,32.682,0,115
2021-02,102900011009277,133.202,0,201
2021-02,102900011009444,34.722,0,74
2021-02,102900011009970,649.428,9,1181
2021-02,102900011011669,4.1160000000000005,0,16
2021-02,102900011012994,107.0,0,107
2021-02,102900011013274,239.0,0,233
2021-02,102900011016701,1623.073,98,3491
2021-02,102900011016909,17.977,0,28
2021-02,102900011018095,265.0,0,265
2021-02,102900011021842,656.0,0,645
2021-02,102900011022030,187.0,0,183
2021-02,102900011022764,75.839,0,162
2021-02,102900011022849,18.996000000000002,0,43
2021-02,102900051000463,31.233,0,52
2021-02,102900051004294,135.678,0,630
2021-02,102900051009220,4.345,0,15
2021-02,102900051009336,0.336,0,2
2021-02,102900051010455,139.273,0,229
2021-02,102900051010790,3.37,0,14
2021-02,106930274220092,217.0,0,217
2021-02,106949711300068,625.0,1,621
2021-02,106958851400125,404.0,0,403
2021-02,106973223300667,1.0,0,1
2021-03,102900005115168,108.143,0,259
2021-03,102900005115199,59.423,0,245
2021-03,102900005115250,26.39,0,106
2021-03,102900005115748,333.201,0,596
2021-03,102900005115762,148.889,1,360
2021-03,102900005115779,666.582,0,1627
2021-03,102900005115786,59.179,0,143
2021-03,102900005115793,28.177,0,85
2021-03,102900005115823,393.509,0,795
2021-03,102900005115854,21.87,0,50
2021-03,102900005115861,1.24,0,1
2021-03,102900005115878,152.581,0,400
2021-03,102900005115885,75.004,0,212
2021-03,102900005115908,142.532,0,333
2021-03,102900005115960,995.527,2,692
2021-03,102900005115984,706.43,0,1423
2021-03,102900005116219,0.435,0,1
2021-03,102900005116226,61.424,0,164
2021-03,102900005116233,119.083,0,474
2021-03,102900005116257,493.683,0,1045
2021-03,102900005116509,74.712,0,150
2021-03,102900005116530,410.831,85,1627
2021-03,102900005116547,229.382,0,541
2021-03,102900005116639,6.506,0,27
2021-03,102900005116714,550.907,0,1288
2021-03,102900005116790,164.788,0,325
2021-03,102900005116837,173.871,11,449
2021-03,102900005116899,602.383,0,907
2021-03,102900005116912,9.884,0,46
2021-03,102900005116943,33.403999999999996,0,244
2021-03,102900005117209,1.533,0,7
2021-03,102900005118817,153.382,0,421
2021-03,102900005118824,17.117,0,48
2021-03,102900005118831,227.0,1,225
2021-03,102900005119098,19.604,0,58
2021-03,102900005119944,4.916,0,19
2021-03,102900005119975,56.025,0,134
2021-03,102900005123880,0.595,0,2
2021-03,102900005125808,69.038,0,516
2021-03,102900005125815,88.682,0,277
2021-03,102900011000328,486.953,0,1282
2021-03,102900011000571,136.439,0,292
2021-03,102900011001219,1.242,0,6
2021-03,102900011001806,41.0,0,41
2021-03,102900011002414,8.940999999999999,0,38
2021-03,102900011006689,55.459,0,160
2021-03,102900011007464,7.055,0,42
2021-03,102900011007471,0.429,0,4
2021-03,102900011008164,120.093,0,290
2021-03,102900011008515,2.867,0,12
2021-03,102900011009246,27.974,0,109
2021-03,102900011009444,15.322000000000001,0,39
2021-03,102900011009970,615.355,0,1091
2021-03,102900011011546,1.0,0,1
2021-03,102900011012994,75.0,0,75
2021-03,102900011013274,130.0,0,130
2021-03,102900011015391,0.943,0,2
2021-03,102900011016701,1634.645,1,4062
2021-03,102900011018095,77.0,0,77
2021-03,102900011021842,285.0,0,285
2021-03,102900011022030,103.0,0,103
2021-03,102900011022924,30.275,0,61
2021-03,102900011023075,1.0,0,1
2021-03,102900051000463,32.257,0,59
2021-03,102900051004294,64.931,0,375
2021-03,102900051009220,16.871,0,43
2021-03,102900051009336,2.297,0,15
2021-03,102900051010455,183.588,0,297
2021-03,102900051010790,4.202,0,23
2021-03,106930274220092,61.0,0,61
2021-03,106949711300068,502.0,0,502
2021-03,106958851400125,365.0,0,365
2021-04,102900005115199,67.968,0,312
2021-04,102900005115762,404.537,29,818
2021-04,102900005115779,570.904,0,1384
2021-04,102900005115786,282.275,13,616
2021-04,102900005115793,6.465,0,16
2021-04,102900005115823,403.399,0,804
2021-04,102900005115854,60.207,0,112
2021-04,102900005115878,10.089,0,27
2021-04,102900005115885,103.181,8,307
2021-04,102900005115908,173.684,9,378
2021-04,102900005115946,2.83,0,12
2021-04,102900005115960,979.417,0,583
2021-04,102900005115984,333.826,0,756
2021-04,102900005116226,71.943,0,194
2021-04,102900005116233,85.37,0,380
2021-04,102900005116257,378.425,12,771
2021-04,102900005116509,63.247,0,122
2021-04,102900005116530,304.796,17,1292
2021-04,102900005116547,248.861,0,572
2021-04,102900005116639,25.274,0,75
2021-04,102900005116714,743.482,0,1586
2021-04,102900005116790,174.91,0,318
2021-04,102900005116837,96.617,0,283
2021-04,102900005116899,354.146,8,507
2021-04,102900005116912,2.861,0,13
2021-04,102900005116943,29.366,0,204
2021-04,102900005117209,0.49,0,2
2021-04,102900005118572,125.542,0,242
2021-04,102900005118817,176.394,0,464
2021-04,102900005118824,44.761,0,148
2021-04,102900005118831,222.0,4,218
2021-04,102900005119098,46.260999999999996,30,119
2021-04,102900005119944,17.474,0,67
2021-04,102900005119968,0.418,0,1
2021-04,102900005119975,112.68599999999999,6,318
2021-04,102900005125808,57.34,0,593
2021-04,102900005125815,78.247,0,234
2021-04,102900011000328,320.185,0,858
2021-04,102900011001806,44.0,0,44
2021-04,102900011002414,10.212,0,38
2021-04,102900011006689,120.176,0,323
2021-04,102900011007464,3.682,0,24
2021-04,102900011007471,2.483,0,27
2021-04,102900011008164,238.912,23,514
2021-04,102900011008577,1.0,0,1
2021-04,102900011009246,21.162,0,75
2021-04,102900011009444,144.75,0,347
2021-04,102900011009970,636.9159999999999,29,1087
2021-04,102900011010891,6.3709999999999996,0,10
2021-04,102900011011546,10.0,0,10
2021-04,102900011012994,55.0,0,55
2021-04,102900011013274,96.0,0,96
2021-04,102900011016701,1241.177,146,3044
2021-04,102900011021842,119.0,0,119
2021-04,102900011022030,55.0,0,55
2021-04,102900051000463,33.015,0,60
2021-04,102900051004294,95.888,0,459
2021-04,102900051009220,19.51,0,42
2021-04,102900051009336,4.665,0,34
2021-04,102900051010455,274.945,0,451
2021-04,102900051010790,10.837,0,61
2021-04,106930274220092,45.0,0,45
2021-04,106931885000035,2.0,0,2
2021-04,106949711300068,174.0,0,174
2021-04,106958851400125,132.0,0,132
2021-05,102900005115168,272.691,0,536
2021-05,102900005115199,5.978,0,39
2021-05,102900005115762,403.557,13,796
2021-05,102900005115779,596.038,0,1502
2021-05,102900005115786,572.408,66,1175
2021-05,102900005115793,119.11,4,250
2021-05,102900005115823,236.796,0,514
2021-05,102900005115854,71.619,0,132
2021-05,102900005115885,7.818,0,28
2021-05,102900005115908,187.542,0,436
2021-05,102900005115946,37.809,0,95
2021-05,102900005115960,767.864,0,657
2021-05,102900005115984,393.741,0,909
2021-05,102900005116219,18.761,0,80
2021-05,102900005116226,62.27,0,177
2021-05,102900005116233,115.44500000000001,0,464
2021-05,102900005116257,426.55400000000003,16,859
2021-05,102900005116509,127.633,0,224
2021-05,102900005116530,292.476,2,1340
2021-05,102900005116547,186.853,0,431
2021-05,102900005116639,7.089,0,21
2021-05,102900005116714,681.547,0,1520
2021-05,102900005116790,140.798,0,282
2021-05,102900005116837,42.304,0,129
2021-05,102900005116899,208.95,0,339
2021-05,102900005116912,0.622,0,4
2021-05,102900005116943,26.092,0,194
2021-05,102900005117209,1.449,0,6
2021-05,102900005117353,18.0,0,18
2021-05,102900005118572,330.716,10,682
2021-05,102900005118817,145.631,0,392
2021-05,102900005118824,74.167,0,233
2021-05,102900005118831,179.0,0,179
2021-05,102900005119098,95.944,60,307
2021-05,102900005119944,30.936,0,152
2021-05,102900005119968,0.502,0,3
2021-05,102900005119975,289.176,0,800
2021-05,102900005123880,0.16,0,1
2021-05,102900005125808,64.491,0,709
2021-05,102900005125815,109.157,0,356
2021-05,102900011000328,422.166,1,1234
2021-05,102900011001219,0.538,0,2
2021-05,102900011001806,17.0,0,17
2021-05,102900011001813,16.0,0,16
2021-05,102900011002414,9.174,0,37
2021-05,102900011006689,121.544,0,325
2021-05,102900011008164,255.199,7,564
2021-05,102900011009246,0.584,0,2
2021-05,102900011009444,110.924,0,252
2021-05,102900011009970,426.839,0,769
2021-05,102900011011546,4.0,0,4
2021-05,102900011012994,65.0,0,65
2021-05,102900011013274,52.0,0,52
2021-05,102900011016701,1413.247,30,3409
2021-05,102900011022030,53.0,0,53
2021-05,102900011024010,21.0,0,19
2021-05,102900051000463,58.5,0,100
2021-05,102900051000944,5.0,0,1
2021-05,102900051004294,118.153,0,513
2021-05,102900051009336,2.511,0,19
2021-05,102900051010455,311.706,0,532
2021-05,102900051010790,1.9969999999999999,0,13
2021-05,106930274220092,1.0,0,1
2021-05,106949711300068,151.0,0,151
2021-05,106956146480197,1.0,0,1
2021-05,106958851400125,78.0,0,78
2021-06,102900005115168,62.346000000000004,0,124
2021-06,102900005115762,301.806,0,614
2021-06,102900005115779,721.217,3,1892
2021-06,102900005115786,609.425,2,1330
2021-06,102900005115793,141.064,1,317
2021-06,102900005115823,215.648,1,504
2021-06,102900005115908,254.459,0,593
2021-06,102900005115946,27.573,0,73
2021-06,102900005115960,516.233,1,474
2021-06,102900005115984,340.141,0,793
2021-06,102900005116219,53.776,0,222
2021-06,102900005116226,16.506999999999998,0,58
2021-06,102900005116233,80.168,0,350
2021-06,102900005116257,463.823,2,939
2021-06,102900005116509,242.936,2,403
2021-06,102900005116530,357.825,1,1523
2021-06,102900005116547,166.378,0,397
2021-06,102900005116639,6.857,0,17
2021-06,102900005116714,747.808,56,1460
2021-06,102900005116790,111.173,0,191
2021-06,102900005116806,0.377,0,1
2021-06,102900005116837,13.828,0,44
