销售日期,水生根茎类,花叶类,花菜类,茄类,辣椒类,食用菌
02/01/2021,102.214,212.911,31.833,18.302,62.422,115.296
03/01/2021,76.505,224.88,50.09,13.385,73.797,103.871
04/01/2021,68.248,177.801,24.728,9.867,58.505,95.499
05/01/2021,89.144,154.654,49.049,14.439,37.556,83.705
06/01/2021,49.852,176.824,51.711,13.689,44.528,81.462
07/01/2021,54.723,161.628,42.427,12.56,50.183,96.002
08/01/2021,53.904,234.462,29.703,12.049,37.342,90.415
09/01/2021,90.49,233.427,47.188,17.965,78.498,129.833
10/01/2021,79.563,250.645,57.696,23.755,68.365,137.986
11/01/2021,47.911,182.204,28.862,15.841,46.768,81.67
12/01/2021,55.595,173.449,18.847,6.304,35.595,73.283
13/01/2021,40.616,172.101,25.301,0,37.065,76.684
14/01/2021,43.51,148.947,34.119,18.643,39.296,75.963
15/01/2021,51.428,171.213,30.979,14.644,39.211,101.383
16/01/2021,82.624,252.825,45.807,20.109,76.174,150.015
17/01/2021,67.482,228.991,45.21,24.613,74.534,141.492
18/01/2021,48.095,167.119,33.17,10.266,48.166,72.532
19/01/2021,42.265,216.055,33.818,9.304,50.827,74.431
20/01/2021,44.546,197.824,33.627,19.321,51.058,90.131
21/01/2021,48.089,219.93,27.553,23.411,57.724,63.013
22/01/2021,48.728,218.136,32.636,12.333,54.45,88.796
23/01/2021,66.893,214.815,48.218,20.333,87.038,117.521
24/01/2021,88.664,350.342,56.086,23.807,99.115,127.934
25/01/2021,86.892,224.149,34.554,20.041,68.681,79.116
26/01/2021,59.222,215.643,36.857,16.078,57.954,101.362
27/01/2021,50.075,208.029,50.986,11.937,105.094,108.756
28/01/2021,58.18,160.384,47.788,17.792,70.075,80.927
29/01/2021,48.372,151.962,56.588,15.072,66.029,69.324
30/01/2021,39.938,236.777,63.124,23.084,91.796,94.904
31/01/2021,47.573,249.269,37.907,24.61,84.451,104.054
01/02/2021,50.34,181.621,25.144,13.664,71.64,69.564
02/02/2021,47.323,193.791,41.328,24.133,92.145,88.048
03/02/2021,36.091,223.102,84.615,14.938,79.053,91.564
04/02/2021,61.4,197.832,69.983,27.716,96.194,111.069
05/02/2021,56.39,194.292,58.169,25.906,124.448,95.222
06/02/2021,55.472,212.817,75.497,39.051,194.842,119.696
07/02/2021,101.527,193.778,53.682,43.635,159.904,147.812
08/02/2021,124.55,234.405,122.215,58.326,289.227,240.205
09/02/2021,211.431,282.558,139.056,87.912,423.696,326.993
10/02/2021,296.792,503.976,167.055,118.931,505.888,511.136
13/02/2021,50,243.485,22.759,28.967,104.485,74.519
14/02/2021,65.073,195.74,16.607,25.06,116.812,164.586
15/02/2021,68.394,300.13,41.123,39.655,168.272,212.364
16/02/2021,67.819,253.696,40.493,31.647,151.649,174.61
17/02/2021,53.632,180.052,33.589,30.358,133.646,144.793
18/02/2021,62.327,227.336,56.001,18.17,105.697,130.174
19/02/2021,73.044,184.169,47.197,13.769,116.07,92.327
20/02/2021,60.612,175.262,39.445,21.798,119.306,88.794
21/02/2021,38.554,144.855,35.248,33.803,80.423,79.403
22/02/2021,40.444,139.491,30.813,15.47,72.834,66.554
23/02/2021,44.084,136.05,24.456,25.429,85.425,77.586
24/02/2021,54.382,190.158,37.41,22.668,60.043,88.233
25/02/2021,74.027,156.613,39.885,34.618,100.118,110.557
26/02/2021,72.508,276.322,70.064,31.286,135.777,159.095
27/02/2021,45.651,218.04,74.704,22.579,122.322,116.814
28/02/2021,49.705,309.688,54.673,27.705,114.677,111.764
01/03/2021,29.048,241.709,28.579,27.232,97.068,79.404
02/03/2021,46.406,182.984,40.61,16.541,83.363,62.044
03/03/2021,20.757,186.008,22.01,23.654,80.749,71.027
04/03/2021,28.177,145.281,18.952,20.344,93.076,72.465
05/03/2021,35.138,211.185,41.955,22.986,101.498,82.585
06/03/2021,61.735,288.817,64.332,38.176,167.583,151.214
07/03/2021,36.889,264.314,84.586,26.748,122.568,125.428
08/03/2021,26.921,211.746,45.65,19.815,80.399,78.721
09/03/2021,42.608,170.907,34.073,20.838,66.895,143.511
10/03/2021,24.891,119.599,25.101,14.35,59.548,91.994
11/03/2021,31.801,158.357,30.749,16.37,57.357,75.477
12/03/2021,21.764,152.44,31.282,23.836,102.131,84.232
13/03/2021,47.086,169.055,43.017,26.434,104.089,101.865
14/03/2021,30.295,176.032,41.13,17.721,117.089,75.95
15/03/2021,22.597,90.812,28.603,13.658,85.656,40.423
16/03/2021,19.772,100.121,19.792,13.577,72.126,44.844
17/03/2021,19.493,107.653,29.326,19.313,83.755,44.029
18/03/2021,20.852,128.058,29.081,11.866,73.733,65.501
19/03/2021,39.292,140.893,42.902,16.235,67.509,69.141
20/03/2021,39.984,267.979,34.377,21.477,117.89,77.235
21/03/2021,41.705,199.712,51.413,17.949,112.176,94.838
22/03/2021,10.113,115.022,30.625,11.561,70.689,50.802
23/03/2021,13.349,134.706,28.634,19.312,66.931,48.174
24/03/2021,14.013,103.505,27.331,15.113,42.484,35.583
25/03/2021,15.827,86.632,25.174,14.621,50.798,46.89
26/03/2021,40.178,167.327,48.956,21.313,60.937,83.562
27/03/2021,43.191,199.727,51.805,26.111,78.794,69.658
28/03/2021,30.71,161.164,50.119,19.628,78.41,55.673
29/03/2021,15.5,111.308,60.434,16.139,62.154,47.327
30/03/2021,14.905,130.803,26.924,21.407,59.573,32.145
31/03/2021,19.503,143.294,28.74,21.649,59.255,45.089
01/04/2021,20.743,162.291,39.109,20.604,52.994,48.978
02/04/2021,37.764,179.383,69.53,20.665,70.727,72.574
03/04/2021,38.786,212.267,68.593,32.71,100.323,75.739
04/04/2021,33.95,192.021,71.456,22.976,88.244,61.709
05/04/2021,24.241,178.469,76.701,16.492,112.577,68.049
06/04/2021,3.622,55.611,13.13,3.138,35.075,11.671
07/04/2021,17.735,198.107,26.939,16.213,62.9,47.805
08/04/2021,9.582,136.899,22.294,20.319,52.596,35.491
09/04/2021,29.704,145.026,51.978,17.451,54.274,31.401
10/04/2021,22.753,204.156,50.186,25.525,84.84,60.287
11/04/2021,22.196,211.619,47.112,24.902,94.326,52.29
12/04/2021,4.178,148.371,32.027,10.203,38.756,43.328
13/04/2021,5.553,127.207,28.593,13.4,51.48,40.041
14/04/2021,19.197,151.83,30.12,18.975,47.052,41.387
15/04/2021,17.098,130.081,27.05,12.151,44.413,40.15
16/04/2021,19.018,130.808,40.232,15.371,62.197,47.162
17/04/2021,35.302,194.951,77.636,20.407,72.266,70.817
18/04/2021,22.237,194.451,48.315,28.972,118.063,56.607
19/04/2021,12.658,134.781,25.092,17.311,59.015,36.293
20/04/2021,12.167,150.715,30.338,16.234,64.062,37.651
21/04/2021,13.078,182.939,49.748,26.622,50.684,31.173
22/04/2021,11.64,150.806,34.615,15.227,47.905,40.04
23/04/2021,10.413,171.226,47.035,27.427,53.397,49.109
24/04/2021,17.178,264.803,107.309,37.796,102.501,78.6
25/04/2021,11.454,221.785,94.264,24.708,71.047,37.692
26/04/2021,11.871,151.258,43.118,12.618,60.716,37.392
27/04/2021,9.127,135.216,26.49,31.042,50.15,26.08
28/04/2021,7.359,125.785,29.405,27.487,47.189,33.609
29/04/2021,8.818,134.898,33.858,15.705,54.543,32.548
30/04/2021,14.856,138.585,38.125,26.786,52.865,34.271
01/05/2021,18.075,171.826,57.443,19.976,77.396,50.81
02/05/2021,17.439,198.544,36.466,22.784,80.42,47.435
03/05/2021,18.743,226.265,37.613,25.175,83.419,54.995
04/05/2021,8.799,200.985,37.838,18.032,43.846,42.643
05/05/2021,15.352,203.532,34.156,17.339,72.08,60.989
06/05/2021,5.992,151.84,21.199,22.682,73.006,30.192
07/05/2021,6.436,147.508,26.046,20.724,73.962,33.543
08/05/2021,11.457,160.786,28.122,22.625,69.529,33.331
09/05/2021,21.145,216.668,37.443,30.75,95.075,44.849
10/05/2021,8.06,157.721,30.866,24.956,60.825,26.427
11/05/2021,8.963,190.06,27.768,26.533,46.524,29.889
12/05/2021,6.081,182.519,19.252,19.247,42.616,31.02
13/05/2021,14.949,157.293,24.095,20.687,47.949,29.537
14/05/2021,11.412,191.116,40.997,32.193,51.909,29.278
15/05/2021,12.399,258.278,37.347,40.776,86.637,49.932
16/05/2021,6.386,212.588,52.382,19.009,153.409,51.103
17/05/2021,5.011,176.658,27.587,29.921,76.099,25.733
18/05/2021,12.309,173.271,31.098,23.783,84.864,29.45
19/05/2021,12.199,140.823,33.901,20.578,76.853,28.798
20/05/2021,9.406,148.851,17.189,22.177,61.568,35.447
21/05/2021,4.178,106.472,33.979,21.886,36.494,43.516
22/05/2021,9.18,190.363,34.962,25.845,98.936,45.209
23/05/2021,17.229,217.259,64.231,42.331,137.485,62.384
24/05/2021,4.28,148.831,40.924,17.043,54.772,29.627
25/05/2021,5.412,130.325,29.554,17.94,57.519,35.047
26/05/2021,4.008,166.467,46.547,15.81,65.416,31.969
27/05/2021,8.319,145.237,43.952,15.645,37.078,19.574
28/05/2021,6.205,123.824,42.189,16.472,67.01,28.172
29/05/2021,9.57,180.875,52.779,18.291,116.845,35.882
30/05/2021,4.719,196.236,21.296,27.038,106.615,33.492
31/05/2021,5.404,191.98,39.165,25.363,60.118,34.114
01/06/2021,7.217,151.091,41.593,26.938,76.648,33.668
02/06/2021,8.681,178.517,43.414,27.706,89.386,43.528
03/06/2021,11.019,142.372,36.284,11.679,75.206,48.365
04/06/2021,13.461,121.093,31.416,16.743,63.703,47.048
05/06/2021,19.495,204.287,61.486,36.367,91.95,42.32
06/06/2021,7.182,222.817,42.143,30.644,88.671,32.745
07/06/2021,8.757,148.539,24.819,29.868,68.965,27.872
08/06/2021,7.394,144.482,25.106,24.611,56.101,28.108
09/06/2021,7.943,126.359,26.845,19.353,52.093,31.399
10/06/2021,10.34,122.004,13.847,24.961,57.091,29.393
11/06/2021,6.744,129.982,21.048,16.567,74.873,25.579
12/06/2021,22.347,210.267,52.462,48.073,77.636,62.009
13/06/2021,11.431,211.28,62.324,40.009,88.876,74.602
14/06/2021,14.049,170.272,73.037,37.545,69.697,56.049
15/06/2021,9.998,127.719,45.326,20.698,61.187,31.346
16/06/2021,5.187,104.991,12.99,19.793,46.695,29.826
17/06/2021,9.409,113.507,48.477,28.237,45.845,22.835
18/06/2021,7.902,150.875,34.971,27.339,46.754,29.867
19/06/2021,10.313,203.369,44.511,30.488,87.633,39.484
20/06/2021,10.001,202.307,43.614,61.881,85.134,38.578
21/06/2021,9.9,150.07,54.07,18.566,58.693,24.224
22/06/2021,13.91,126.439,26.162,30.92,56.135,29.299
23/06/2021,10.931,123.214,57.723,24.859,53.901,32.793
24/06/2021,6.119,127.946,34.885,19.543,41.586,31.747
25/06/2021,10.916,146.582,40.437,12.896,35.531,32.537
26/06/2021,20.953,197.69,71.821,35.449,82.439,47.402
27/06/2021,19.982,213.547,56.542,31.776,79.121,49.14
28/06/2021,9.933,125.782,35.784,21.088,45.81,33.153
29/06/2021,9.52,110.196,34.383,19.721,40.321,26.399
30/06/2021,7.464,125.415,27.052,27.425,39.114,41.537
01/07/2021,8.512,148.597,33.72,26.278,54.567,32.65
02/07/2021,10.79,133.586,24.972,28.565,51.785,34.247
03/07/2021,29.657,197.925,48.497,47.285,73.552,66.849
04/07/2021,24.214,197.322,45.679,39.241,57.583,44.466
05/07/2021,14.947,176.276,66.355,49.588,53.877,40.491
06/07/2021,7.861,173.864,44.901,49.005,46.553,36.365
07/07/2021,8.404,149.514,40.488,31.752,38.244,26.099
08/07/2021,12.209,143.491,61.361,33.078,44.995,34.071
09/07/2021,4.507,114.966,28.476,22.81,34.612,26.496
10/07/2021,14.838,176.065,70.59,49.929,52.771,41.077
11/07/2021,14.099,212.957,75.634,40.365,39.195,38.382
12/07/2021,7.559,140.305,24.48,24.025,42.472,24.08
13/07/2021,7.123,149.772,47.258,28.125,24.629,18.59
14/07/2021,14.182,163.863,50.127,20.281,51.339,43.512
15/07/2021,5.78,141.75,27.632,17.221,48.957,29.008
16/07/2021,23.636,236.055,39.074,53.38,57.948,47.644
17/07/2021,27.115,223.655,79.353,29.918,60.204,46.115
18/07/2021,30.138,234.028,60.81,31.604,67.134,43.166
19/07/2021,15.754,174.827,34.935,19.986,40.146,40.629
20/07/2021,12.512,152.362,46.461,19.324,40.886,27.025
21/07/2021,18.057,152.653,52.983,22.554,58.081,36.182
22/07/2021,17.843,154.625,34.223,26.636,56.815,31.031
23/07/2021,13.844,150.636,38.509,19.1,45.06,28.61
24/07/2021,32.222,206.923,50.974,37.029,82.893,35.038
25/07/2021,24.134,248.502,60.229,29.736,72.385,36.532
26/07/2021,16.444,155.365,25.066,16.386,47.928,30.861
27/07/2021,33.891,189.082,53.678,20.927,54.649,29.008
28/07/2021,32.418,205.803,58.303,15.551,63.485,35.805
29/07/2021,17.107,193.613,31.376,59.522,33.377,26.28
30/07/2021,20.72,214.155,43.631,33.845,50.321,28.865
31/07/2021,23.282,255.972,47.859,24.536,57.015,44.567
01/08/2021,36.228,251.271,66.798,20.536,76.324,42.984
02/08/2021,22.943,283.115,24.162,35.577,79.129,57.648
03/08/2021,27.549,264.825,20.641,48.444,55.901,42.284
04/08/2021,22.617,313.269,14.278,33.147,89.04,50.028
05/08/2021,15.634,245.944,26.638,29.12,65.069,58.355
06/08/2021,22.376,189.756,28.948,20.331,51.048,51.397
07/08/2021,28.627,232.089,40.416,23.784,69.382,53.974
08/08/2021,24.273,265.775,50.406,32.192,54.567,57.351
09/08/2021,19.711,234.344,56.607,31.015,61.457,41.987
10/08/2021,24.532,193.189,11.233,22.361,66.971,39.23
11/08/2021,20.738,225.45,1.054,25.757,61.666,44.244
12/08/2021,28.536,275.876,12.87,37.175,83.793,52.714
13/08/2021,37.722,274.08,3.504,49.079,88.147,57.871
14/08/2021,27.112,281.13,16.528,35.09,96.491,74.363
15/08/2021,49.471,297.827,8.103,31.245,78.349,61.545
16/08/2021,50.533,190.573,6.045,24.663,52.116,41.091
17/08/2021,56.145,183.216,9.498,28.565,59.86,57.879
18/08/2021,54.55,185.59,8.645,25.035,54.41,38.636
19/08/2021,28.569,183.245,8.906,31.478,50.988,35.688
20/08/2021,27.29,195.116,47.274,25.752,47.075,42.358
21/08/2021,37.692,241.956,34.9,33.887,67.629,70.575
22/08/2021,51.313,281.156,1.546,21.861,94.447,60.822
23/08/2021,38.788,178.374,4.509,29.713,15.773,40.53
24/08/2021,31.616,168.012,9.207,22.695,53.891,43.365
25/08/2021,35.363,145.216,2.219,27.139,53.903,34.177
26/08/2021,63.126,255.505,5.452,34.842,61.124,49.747
27/08/2021,56.396,259.053,19.568,33.381,64.045,61.288
28/08/2021,49.574,244.915,35.502,34.078,75.85,61.493
29/08/2021,55.375,229.082,56.181,39.917,81.325,65.999
30/08/2021,40.953,178.587,48.287,41.208,65.327,47.989
31/08/2021,31.335,165.821,42.879,39.432,66.341,42.531
01/09/2021,47.449,177.642,8.003,27.264,44.769,61.883
02/09/2021,45.638,161.364,27.869,24.511,44.128,40.494
03/09/2021,54.834,149.219,24.967,20.685,42.436,46.246
04/09/2021,66.409,221.353,32.878,26.823,90.712,78.639
05/09/2021,58.946,238.552,51.129,30.823,63.285,74.857
06/09/2021,33.471,191.936,34.751,20.716,42.718,37.744
07/09/2021,34.142,163.316,23.172,19.175,45.236,44.438
08/09/2021,38.571,161.268,15.183,16.32,36.083,42.227
09/09/2021,39.028,120.989,14.255,12.804,39.957,41.997
10/09/2021,43.851,133.882,24.651,13.491,36.978,35.582
11/09/2021,67.532,257.43,18.06,26.026,53.88,62.394
12/09/2021,57.208,275.532,32.063,34.906,52.389,57.278
13/09/2021,29.937,152.695,11.356,26.428,46.014,31.415
14/09/2021,41.431,163.291,10.777,24.411,34.598,35.185
15/09/2021,32.841,150.327,12.702,20.887,33.653,35.282
16/09/2021,35.965,97.458,9.283,28.808,33.706,38.913
17/09/2021,31.276,128.348,13.163,22.689,30.378,33.651
18/09/2021,34.827,134.812,35.325,25.935,45.049,41.645
19/09/2021,93.77,217.32,51.647,46.835,75.511,113.493
20/09/2021,94.882,224.8,70.426,40.869,88.648,92.289
21/09/2021,94.155,239.77,56.3,32.473,100.446,81.116
22/09/2021,30.22,138.42,39.227,31.009,50.963,36.948
23/09/2021,19.216,107.29,27.567,22.845,45.501,33.475
24/09/2021,32.314,104.729,8.431,15.31,40.147,40.365
