,销量(千克),销量(千克),销量(千克),销量(千克),销量(千克),销量(千克),平均销量(千克),平均销量(千克),平均销量(千克),平均销量(千克),平均销量(千克),平均销量(千克)
2020-08-23,46.056999999999995,261.552,71.556,47.316,93.714,55.226,11.514249999999999,20.119384615384618,35.778,15.772,10.412666666666667,6.90325
2020-08-24,20.305,260.694,41.784,26.874,97.07900000000001,39.576,6.7683333333333335,17.3796,20.892,8.958,9.7079,4.397333333333333
2020-08-25,20.062,343.427,47.760999999999996,23.272,107.213,54.488,6.687333333333334,24.5305,23.880499999999998,7.7573333333333325,11.912555555555555,6.054222222222222
2020-08-26,18.95,241.686,82.54400000000001,30.722,82.32,42.811,6.316666666666666,17.263285714285715,41.272000000000006,10.240666666666668,8.232,4.756777777777778
2020-08-27,19.487000000000002,199.007,92.506,19.129,89.92,50.458,4.8717500000000005,14.214785714285714,46.253,4.78225,8.992,5.606444444444445
2020-08-28,20.997,195.032,39.93,24.597,156.11,55.659,5.24925,15.002461538461539,19.965,8.199,17.345555555555556,5.059909090909091
2020-08-29,65.814,267.031,56.803,30.675,145.627,62.431,32.907,20.540846153846154,28.4015,10.225,14.562700000000001,5.675545454545454
2020-08-30,30.005000000000003,266.387,80.779,21.641,155.81099999999998,73.195,10.001666666666667,22.198916666666666,40.3895,7.213666666666666,15.581099999999998,6.654090909090908
2020-08-31,52.949,224.882,54.722,15.943,117.96499999999999,44.775999999999996,17.649666666666665,16.063,27.361,5.314333333333333,13.107222222222221,4.975111111111111
2020-09-01,47.658,191.655,55.858000000000004,26.329,102.504,47.282,15.886000000000001,15.97125,27.929000000000002,8.776333333333334,10.2504,5.253555555555555
2020-09-02,17.941,179.819,38.715999999999994,13.873000000000001,83.96900000000001,51.011,5.980333333333333,12.844214285714285,19.357999999999997,4.624333333333333,8.3969,5.101100000000001
2020-09-03,15.996,193.463,38.893,14.172,87.119,48.163,7.998,14.88176923076923,19.4465,4.724,9.67988888888889,5.351444444444444
2020-09-04,16.634999999999998,176.316,46.611999999999995,20.233,91.579,54.43,8.317499999999999,12.594,23.305999999999997,6.7443333333333335,9.1579,5.443
2020-09-05,42.553999999999995,249.559,57.828,33.731,110.439,62.594,21.276999999999997,16.637266666666665,28.914,8.43275,12.270999999999999,5.690363636363636
2020-09-06,46.963,276.111,53.202,33.397,126.5,78.472,23.4815,18.4074,26.601,8.34925,14.055555555555555,7.133818181818182
2020-09-07,38.926,148.221,26.256999999999998,17.365000000000002,56.473000000000006,41.804,19.463,9.881400000000001,13.128499999999999,4.3412500000000005,5.6473,4.180400000000001
2020-09-08,19.127,158.329,33.239,20.623,50.259,32.388999999999996,19.127,9.8955625,16.6195,5.15575,5.0259,4.627
2020-09-09,12.161000000000001,131.492,32.730000000000004,12.041,39.795,33.45,6.080500000000001,8.766133333333332,16.365000000000002,3.01025,4.421666666666667,3.716666666666667
2020-09-10,14.491999999999999,119.91900000000001,57.319,16.916,49.321,35.789,7.2459999999999996,9.224538461538462,28.6595,4.229,4.9321,3.5789
2020-09-11,13.364,151.957,31.538000000000004,22.019000000000002,50.22,48.467,6.682,10.854071428571428,15.769000000000002,7.339666666666667,5.58,4.406090909090909
2020-09-12,16.957,231.88400000000001,43.337,21.411,74.51,73.173,16.957,15.458933333333334,21.6685,5.35275,6.773636363636364,6.6520909090909095
2020-09-13,18.739,263.345,41.704,28.737,83.723,74.834,6.246333333333333,18.810357142857146,20.852,9.578999999999999,7.6111818181818185,7.4834000000000005
2020-09-14,17.360999999999997,175.844,64.257,16.134,48.550000000000004,31.147,8.680499999999999,10.99025,32.1285,5.378,5.394444444444445,4.449571428571429
2020-09-15,19.219,156.048,29.878,13.243,49.991,41.578,9.6095,9.753,14.939,4.414333333333333,6.248875,4.1578
2020-09-16,18.818,176.949,59.448,15.193999999999999,46.894999999999996,35.413,9.409,10.408764705882353,29.724,5.064666666666667,4.6895,3.9347777777777773
2020-09-17,17.437,143.534,32.647999999999996,22.924,46.145,39.259,17.437,8.443176470588234,16.323999999999998,7.641333333333333,5.127222222222223,4.362111111111111
2020-09-18,11.389000000000001,154.38799999999998,27.705,13.805,48.075,38.541,5.694500000000001,9.081647058823528,13.8525,4.601666666666667,4.8075,2.9646923076923075
2020-09-19,39.431,235.87400000000002,82.75999999999999,30.406,84.269,60.519999999999996,19.7155,15.724933333333334,41.379999999999995,10.135333333333334,9.363222222222223,6.724444444444444
2020-09-20,39.551,317.998,53.497,41.474000000000004,99.148,50.42,19.7755,19.874875,26.7485,13.824666666666667,9.9148,5.602222222222222
2020-09-21,16.289,212.997,39.191,20.868,56.561,63.528999999999996,16.289,14.199800000000002,19.5955,6.9559999999999995,6.2845555555555555,6.3529
2020-09-22,37.808,232.243,40.905,25.819000000000003,77.009,49.058,18.904,14.5151875,20.4525,8.606333333333334,7.7009,4.088166666666667
2020-09-23,18.629,179.262,31.972,22.515,54.327,56.265,9.3145,11.9508,15.986,7.505,6.036333333333333,4.328076923076923
2020-09-24,51.886,162.861,38.952,18.9,50.486000000000004,61.336,25.943,9.580058823529411,19.476,6.3,5.0486,5.1113333333333335
2020-09-25,22.732,173.781,41.561,26.529,53.937999999999995,64.509,11.366,8.68905,20.7805,8.843,5.3938,4.3006
2020-09-26,65.744,227.77100000000002,86.643,33.516999999999996,68.094,94.495,32.872,12.653944444444445,43.3215,11.172333333333333,7.565999999999999,6.299666666666667
2020-09-27,28.289,199.81300000000002,35.964,20.532,54.459,72.522,14.1445,11.753705882352943,17.982,6.844,5.4459,4.8348
2020-09-28,11.860999999999999,114.933,24.576,18.401,37.410000000000004,46.913,5.930499999999999,7.6622,12.288,6.133666666666667,3.7410000000000005,3.6086923076923076
2020-09-29,24.134999999999998,157.957,28.105,24.719,57.017,45.485,12.067499999999999,9.8723125,14.0525,8.239666666666666,6.335222222222223,3.498846153846154
2020-09-30,36.839,177.129,60.771,25.865000000000002,53.628,110.358,18.4195,11.0705625,30.3855,8.621666666666668,5.3628,8.489076923076924
2020-10-01,55.356,248.415,93.92800000000001,32.482,64.092,103.929,27.678,16.561,46.964000000000006,10.827333333333334,6.4092,8.66075
2020-10-02,21.931,244.124,67.14500000000001,38.762,69.054,89.316,10.9655,15.25775,33.572500000000005,12.920666666666667,6.9054,6.870461538461539
2020-10-03,18.497,298.341,44.492999999999995,63.535,84.728,60.052,9.2485,21.31007142857143,22.246499999999997,15.88375,9.414222222222222,5.004333333333333
2020-10-04,19.254,232.776,34.491,43.849,75.21,122.501,9.627,17.905846153846156,17.2455,14.616333333333332,8.356666666666666,8.75007142857143
2020-10-05,79.752,294.623,92.279,31.128,87.93299999999999,126.518,39.876,21.0445,46.1395,10.376,9.770333333333333,9.037
2020-10-06,25.784,287.297,108.157,42.318000000000005,81.727,124.059,12.892,19.153133333333336,54.0785,10.579500000000001,9.080777777777778,8.861357142857143
2020-10-07,52.907,255.378,56.266000000000005,29.085,63.151,80.421,26.4535,18.241285714285713,28.133000000000003,7.27125,7.0167777777777784,6.18623076923077
2020-10-08,31.951999999999998,252.73,49.58,33.49,72.023,328.488,15.975999999999999,18.052142857142858,24.79,8.3725,8.002555555555555,25.268307692307694
2020-10-09,51.476000000000006,162.518,55.845,24.289,51.243,57.258,25.738000000000003,11.608428571428572,27.9225,6.07225,5.693666666666667,4.404461538461539
2020-10-10,22.07,175.163,37.393,26.814,52.510999999999996,75.63000000000001,11.035,11.677533333333335,18.6965,6.7035,5.834555555555555,5.817692307692308
2020-10-11,57.223000000000006,238.081,60.47,34.726,70.214,163.664,28.611500000000003,17.005785714285715,30.235,8.6815,7.801555555555556,14.878545454545453
2020-10-12,38.333000000000006,170.21200000000002,34.815,17.876,48.979,102.38499999999999,19.166500000000003,13.09323076923077,17.4075,4.469,5.442111111111111,9.307727272727272
2020-10-13,50.519,178.246,47.321,23.119,49.116,48.021,25.2595,11.883066666666668,23.6605,5.77975,6.1395,4.00175
2020-10-14,46.207,182.96,48.259,13.742,46.36,73.831,46.207,14.073846153846155,24.1295,3.4355,5.151111111111111,5.679307692307693
2020-10-15,42.162,190.238,59.623999999999995,19.447,45.236,72.91,42.162,13.58842857142857,29.811999999999998,4.86175,5.6545,6.075833333333333
2020-10-16,58.973,170.77,88.36099999999999,20.139,44.67,69.805,58.973,11.384666666666668,44.180499999999995,5.03475,4.963333333333334,5.817083333333334
2020-10-17,87.11999999999999,249.493,109.31099999999999,30.556,97.15499999999999,115.896,87.11999999999999,14.676058823529411,54.655499999999996,7.639,12.144374999999998,8.915076923076922
2020-10-18,79.338,226.73499999999999,91.597,36.361000000000004,88.24700000000001,113.125,79.338,13.33735294117647,45.7985,9.090250000000001,9.805222222222223,8.701923076923077
2020-10-19,40.6,152.709,57.412,20.03,56.69,58.338,40.6,9.5443125,28.706,5.0075,5.669,5.303454545454546
2020-10-20,49.434000000000005,186.078,30.899,13.777,49.296,45.419,49.434000000000005,11.629875,15.4495,3.44425,5.477333333333333,3.7849166666666663
2020-10-21,21.201,168.76500000000001,40.55499999999999,15.327,48.047,56.114000000000004,21.201,11.251000000000001,20.277499999999996,3.83175,5.338555555555555,5.611400000000001
2020-10-22,35.917,117.235,26.166,14.725,50.037,94.688,35.917,7.3271875,13.083,3.68125,5.559666666666667,9.4688
2020-10-23,30.801000000000002,211.914,23.854,14.427,43.757999999999996,115.306,15.400500000000001,14.1276,11.927,3.60675,4.3758,11.5306
2020-10-24,67.932,282.107,31.113,22.221,77.09700000000001,115.39,67.932,18.807133333333336,15.5565,5.55525,8.566333333333334,10.49
2020-10-25,71.16,223.397,43.114,30.136000000000003,72.537,104.16,71.16,13.141,21.557,7.534000000000001,7.2537,9.469090909090909
2020-10-26,20.666,157.832,22.371,10.797,45.43900000000001,62.363,20.666,9.284235294117646,11.1855,3.599,4.543900000000001,5.669363636363636
2020-10-27,21.273,154.566,23.305,13.444,45.479,56.508,21.273,9.092117647058824,11.6525,3.361,5.053222222222222,5.6508
2020-10-28,32.418,167.542,30.296999999999997,12.238,49.395,75.211,32.418,9.855411764705883,15.148499999999999,3.0595,6.174375,6.837363636363636
2020-10-29,15.828,120.551,24.902,14.436,52.654,81.051,15.828,6.697277777777778,12.451,3.609,5.2654000000000005,7.3682727272727275
2020-10-30,18.769,148.243,28.939,12.192,46.452,74.23,18.769,7.802263157894736,14.4695,3.048,4.6452,6.185833333333334
2020-10-31,79.265,248.102,82.701,16.499000000000002,81.292,135.284,79.265,14.594235294117647,41.3505,4.124750000000001,8.1292,11.273666666666665
2020-11-01,71.332,206.956,69.062,15.407,73.72200000000001,127.967,71.332,11.497555555555556,34.531,3.85175,7.372200000000001,12.7967
2020-11-02,15.053,144.442,32.726,11.378,54.351,78.321,15.053,9.027625,16.363,2.8445,6.793875,7.120090909090909
2020-11-03,15.727,135.067,52.370000000000005,10.846,66.83399999999999,65.34100000000001,15.727,8.4416875,26.185000000000002,2.7115,7.425999999999998,5.94009090909091
2020-11-04,18.183,122.11399999999999,67.527,10.702,59.731,195.33999999999997,18.183,8.140933333333333,33.7635,2.6755,7.466375,19.534
2020-11-05,8.347,146.327,57.354,9.067,45.282000000000004,129.089,8.347,9.1454375,28.677,3.0223333333333335,4.5282,12.9089
2020-11-06,13.443,142.586,95.136,7.220000000000001,49.287,80.588,13.443,8.911625,47.568,1.8050000000000002,4.9287,8.95422222222222
2020-11-07,71.413,224.29999999999998,121.453,10.878,69.738,122.896,71.413,14.018749999999999,60.7265,2.7195,6.9738,12.2896
2020-11-08,58.207,209.80800000000002,125.591,16.906,78.907,124.492,58.207,13.113000000000001,62.7955,4.2265,7.8907,11.317454545454545
2020-11-09,14.579,144.911,57.592,10.063,64.616,63.22,14.579,8.524176470588236,28.796,2.51575,6.4616,5.747272727272727
2020-11-10,12.103,157.962,25.698,9.574,54.663000000000004,64.18,12.103,9.872625,12.849,2.3935,5.4663,5.834545454545455
2020-11-11,17.155,150.867,63.25,15.585,65.834,64.52199999999999,8.5775,8.381499999999999,31.625,3.89625,6.5834,6.4521999999999995
2020-11-12,15.951,151.144,13.405999999999999,15.508000000000001,58.851,68.656,7.9755,8.396888888888888,6.702999999999999,3.8770000000000002,5.8850999999999996,5.28123076923077
2020-11-13,13.766,141.977,60.306,8.044,70.24600000000001,67.676,6.883,8.8735625,30.153,2.6813333333333333,7.805111111111112,6.152363636363637
2020-11-14,58.127,207.145,84.001,18.146,71.84,92.793,58.127,10.902368421052632,42.0005,4.5365,7.184,8.435727272727274
2020-11-15,45.353,227.231,77.798,18.318,74.078,73.108,45.353,13.366529411764706,38.899,4.5795,7.4078,6.646181818181819
2020-11-16,14.45,140.087,48.64,15.671999999999999,45.345,54.363,14.45,8.7554375,24.32,3.9179999999999997,4.5344999999999995,4.942090909090909
2020-11-17,24.762,222.517,43.621,12.224,43.486000000000004,131.979,24.762,13.9073125,21.8105,3.056,5.4357500000000005,11.99809090909091
2020-11-18,19.171,203.322,50.437999999999995,15.946,45.407000000000004,99.089,19.171,11.295666666666667,25.218999999999998,3.9865,5.045222222222223,9.008090909090908
2020-11-19,22.977,207.79999999999998,77.165,12.808,59.111000000000004,90.297,11.4885,12.223529411764705,38.5825,3.202,5.9111,9.0297
2020-11-20,22.48,244.555,52.70099999999999,9.804,53.492,70.888,11.24,15.2846875,26.350499999999997,2.451,5.3492,6.4443636363636365
2020-11-21,95.789,460.646,114.066,25.451,79.774,169.382,47.8945,25.591444444444445,57.033,6.36275,8.863777777777777,15.398363636363637
2020-11-22,67.538,371.968,119.596,26.933,99.221,160.154,67.538,21.880470588235294,59.798,6.73325,9.9221,16.0154
2020-11-23,34.987,294.311,74.623,15.902000000000001,59.056,195.788,34.987,17.31241176470588,37.3115,5.300666666666667,6.5617777777777775,16.31566666666667
2020-11-24,44.692,220.189,60.92700000000001,13.897,52.157,117.661,44.692,15.727785714285714,30.463500000000003,3.47425,5.795222222222222,9.805083333333334
2020-11-25,38.697,237.713,37.137,13.199,39.054,95.581,38.697,14.8570625,18.5685,3.29975,4.339333333333333,7.352384615384616
2020-11-26,24.099,282.923,34.766,12.868,48.086,110.276,24.099,17.6826875,17.383,3.217,5.342888888888889,9.189666666666666
2020-11-27,23.178,225.596,28.934,13.175,53.11600000000001,112.979,23.178,13.270352941176471,14.467,3.29375,5.901777777777778,8.069928571428571
2020-11-28,30.289,400.295,79.441,18.759,82.485,187.133,30.289,22.238611111111112,39.7205,4.68975,8.2485,14.394846153846155
2020-11-29,31.494,287.707,77.33500000000001,20.701999999999998,66.151,168.218,31.494,16.92394117647059,38.667500000000004,5.1754999999999995,7.350111111111111,12.939846153846153
2020-11-30,18.481,207.35299999999998,41.156000000000006,18.29,54.21399999999999,100.48599999999999,18.481,12.197235294117647,20.578000000000003,3.658,5.421399999999999,7.729692307692307
2020-12-01,25.029,287.79699999999997,25.82,9.271,47.882,99.477,25.029,17.987312499999998,12.91,1.8542,5.320222222222222,8.28975
2020-12-02,22.979,213.665,24.46,9.603,48.74,185.141,11.4895,13.3540625,12.23,1.9205999999999999,4.8740000000000006,15.428416666666665
2020-12-03,35.348,274.097,27.342,12.913,48.794999999999995,97.39500000000001,17.674,15.22761111111111,13.671,2.5826000000000002,6.099374999999999,8.85409090909091
2020-12-04,87.25,242.529,27.457,11.517,42.929,110.875,43.625,13.473833333333333,13.7285,2.3034,4.7698888888888895,8.528846153846153
2020-12-05,43.518,306.959,72.116,18.692999999999998,50.32,155.115,21.759,17.05327777777778,36.058,3.7385999999999995,5.032,11.079642857142858
2020-12-06,93.761,367.129,67.968,18.881,61.77,234.205,46.8805,20.396055555555556,33.984,4.72025,6.1770000000000005,18.01576923076923
2020-12-07,60.127,197.718,29.017,10.537,39.565999999999995,91.333,30.0635,10.406210526315789,14.5085,2.63425,4.396222222222222,6.088866666666666
2020-12-08,78.345,183.98,29.686,10.904,38.132,89.028,26.115,10.82235294117647,14.843,2.726,3.8131999999999997,5.56425
2020-12-09,39.897,180.673,20.825,9.89,36.059,80.164,13.299,12.044866666666667,10.4125,3.296666666666667,3.6058999999999997,4.715529411764706
2020-12-10,48.448,188.539,20.405,11.411000000000001,45.747,89.363,16.149333333333335,11.7836875,10.2025,2.8527500000000003,5.083,4.964611111111111
2020-12-11,55.726,212.51,30.644,14.918,44.514,94.15299999999999,18.575333333333333,12.500588235294117,15.322,3.7295,4.4514000000000005,5.230722222222222
2020-12-12,71.47,269.619,65.792,11.965,55.182,174.431,23.823333333333334,15.85994117647059,32.896,2.99125,6.131333333333334,8.306238095238095
2020-12-13,73.578,375.781,78.67,20.845,76.78399999999999,197.615,24.526,22.104764705882353,39.335,5.21125,8.531555555555554,10.400789473684211
2020-12-14,65.517,197.654,33.376000000000005,12.715000000000002,48.394,83.089,32.7585,12.353375,16.688000000000002,4.238333333333334,8.065666666666667,5.539266666666666
2020-12-15,51.769000000000005,203.80800000000002,33.43,10.295,41.065999999999995,99.925,12.942250000000001,13.587200000000001,16.715,2.57375,4.106599999999999,5.877941176470588
2020-12-16,47.282000000000004,152.029,26.065,9.313,34.839999999999996,74.212,15.760666666666667,9.5018125,13.0325,4.6565,3.8711111111111105,4.3654117647058825
2020-12-17,47.929,167.799,31.098,12.154,33.18,94.652,23.9645,10.4874375,15.549,3.0385,3.6866666666666665,5.258444444444445
2020-12-18,63.361999999999995,151.08,26.454,19.541,41.801,86.25999999999999,21.120666666666665,8.887058823529413,13.227,4.88525,4.1801,5.074117647058823
2020-12-19,86.825,266.55,60.29,14.524000000000001,68.24,154.68099999999998,28.941666666666666,14.808333333333334,30.145,4.841333333333334,6.824,10.312066666666665
2020-12-20,77.313,276.911,89.851,14.386,64.273,142.972,25.771,15.383944444444445,44.9255,4.795333333333333,6.4273,9.531466666666667
2020-12-21,48.468,136.041,37.057,12.997,30.846,84.045,16.156000000000002,8.5025625,18.5285,4.332333333333334,3.4273333333333333,6.465
2020-12-22,38.698,152.185,27.345999999999997,11.078999999999999,38.615,76.199,19.349,10.145666666666667,13.672999999999998,2.7697499999999997,3.8615000000000004,5.079933333333333
2020-12-23,43.83,143.966,39.823,9.4,41.738,67.604,21.915,8.997875,19.9115,2.35,4.1738,4.5069333333333335
2020-12-24,61.82299999999999,218.53300000000002,39.293,9.801,37.463,76.09,30.911499999999997,13.658312500000001,19.6465,3.267,3.7463,5.072666666666667
2020-12-25,65.984,159.654,33.711,10.328,53.083,148.943,21.994666666666664,10.6436,16.8555,5.164,5.3083,9.3089375
2020-12-26,103.905,285.224,62.717,16.19,52.907000000000004,136.159,25.97625,19.01493333333333,31.3585,5.396666666666667,5.878555555555556,8.5099375
2020-12-27,93.232,288.755,51.016,11.873999999999999,52.745,118.129,31.077333333333332,20.625357142857144,25.508,5.936999999999999,5.2745,7.875266666666667
2020-12-28,63.262,251.45499999999998,33.949,13.266,45.863,69.819,21.087333333333333,17.961071428571426,16.9745,4.422,4.5863,5.370692307692308
2020-12-29,54.92400000000001,223.512,33.714,12.741000000000001,28.906000000000002,79.647,13.731000000000002,14.9008,16.857,4.247000000000001,4.129428571428572,4.9779375
2020-12-30,75.742,146.39,33.438,16.317999999999998,32.167,66.631,18.9355,9.759333333333332,16.719,5.439333333333333,3.5741111111111112,4.1644375
2020-12-31,73.305,179.177,23.092,20.724999999999998,45.583999999999996,120.945,18.32625,11.945133333333333,11.546,6.908333333333332,5.0648888888888886,8.062999999999999
2021-01-01,91.56899999999999,224.797,55.985,18.037,67.733,136.338,30.522999999999996,14.986466666666667,27.9925,9.0185,6.773300000000001,9.738428571428571
